customer_id,recency,frequency,monetary,cluster,segment
AF-108702,106,6,5318,3,Champions
AF-108703,427,9,634,0,Loyal Customers
AF-108704,42,7,1033,0,Loyal Customers
AF-108851,77,10,3935,3,Champions
AF-108852,163,13,2512,0,Loyal Customers
AF-108853,54,8,1025,0,Loyal Customers
AF-108854,416,4,741,2,At-Risk
AF-8701,13,4,145,2,At-Risk
AF-8702,766,1,108,1,At-Risk
AF-8703,6,4,808,2,At-Risk
AF-8851,204,1,17,2,At-Risk
AF-8852,168,1,47,2,At-Risk
AG-102701,66,7,1352,0,Loyal Customers
AG-102702,197,4,558,2,At-Risk
AG-102703,41,9,1227,0,Loyal Customers
AG-102704,279,5,587,2,At-Risk
AG-103001,28,5,1214,2,At-Risk
AG-103002,73,7,1859,0,Loyal Customers
AG-103003,3,8,2035,0,Loyal Customers
AG-103004,119,4,349,2,At-Risk
AG-103301,173,5,3160,0,Loyal Customers
AG-103302,150,9,845,0,Loyal Customers
AG-103303,183,10,1860,0,Loyal Customers
AG-103304,9,5,297,2,At-Risk
AG-103901,241,2,137,2,At-Risk
AG-103902,414,4,1686,2,At-Risk
AG-103903,190,8,1211,0,Loyal Customers
AG-103904,115,5,100,2,At-Risk
AG-104951,168,6,641,2,At-Risk
AG-104952,129,11,2157,0,Loyal Customers
AG-104953,201,4,955,2,At-Risk
AG-104954,79,8,1129,0,Loyal Customers
AG-105251,135,3,324,2,At-Risk
AG-105252,38,8,2670,0,Loyal Customers
AG-105253,13,5,2325,0,Loyal Customers
AG-105254,846,4,630,1,At-Risk
AG-106751,770,3,1100,1,At-Risk
AG-106752,48,7,1176,0,Loyal Customers
AG-106753,401,4,371,2,At-Risk
AG-106754,98,7,3092,3,Champions
AG-107651,377,4,1525,2,At-Risk
AG-107652,93,6,1395,0,Loyal Customers
AG-107653,29,13,2610,0,Loyal Customers
AG-107654,78,4,143,2,At-Risk
AG-109001,118,8,815,0,Loyal Customers
AG-109002,373,8,2509,0,Loyal Customers
AG-109003,58,3,841,2,At-Risk
AG-109004,97,10,1724,0,Loyal Customers
AG-2701,164,5,224,2,At-Risk
AG-2702,520,1,197,1,At-Risk
AG-2703,14,2,22,2,At-Risk
AG-3001,146,2,568,2,At-Risk
AG-3002,99,4,200,2,At-Risk
AG-3301,3,6,392,2,At-Risk
AG-3302,15,1,20,2,At-Risk
AG-3901,1121,2,116,1,At-Risk
AG-3902,113,2,21,2,At-Risk
AG-4951,206,3,241,2,At-Risk
AG-4952,49,2,52,2,At-Risk
AG-4953,70,6,164,2,At-Risk
AG-5251,16,6,413,2,At-Risk
AG-5252,729,1,45,1,At-Risk
AG-6751,174,6,180,2,At-Risk
AG-6752,271,4,1060,2,At-Risk
AG-7651,580,4,415,1,At-Risk
AG-7652,115,4,364,2,At-Risk
AG-9001,24,4,227,2,At-Risk
AH-100301,411,6,3390,3,Champions
AH-100302,29,8,3283,3,Champions
AH-100303,159,6,3196,3,Champions
AH-100304,13,7,752,0,Loyal Customers
AH-100751,3,9,4478,3,Champions
AH-100752,31,9,736,0,Loyal Customers
AH-100753,231,6,2276,0,Loyal Customers
AH-100754,35,10,1448,0,Loyal Customers
AH-101201,472,3,558,2,At-Risk
AH-101202,114,6,468,2,At-Risk
AH-101203,307,6,1747,0,Loyal Customers
AH-101204,61,7,1044,0,Loyal Customers
AH-101951,50,6,2774,0,Loyal Customers
AH-101952,93,9,724,0,Loyal Customers
AH-101953,52,6,1731,0,Loyal Customers
AH-101954,56,4,373,2,At-Risk
AH-102101,471,2,62,1,At-Risk
AH-102102,103,11,3072,3,Champions
AH-102103,8,12,5782,3,Champions
AH-102104,7,9,4030,3,Champions
AH-104651,87,6,952,0,Loyal Customers
AH-104652,481,2,251,1,At-Risk
AH-104653,71,7,583,0,Loyal Customers
AH-104654,231,5,1550,2,At-Risk
AH-105851,188,9,3530,3,Champions
AH-105852,184,5,658,2,At-Risk
AH-105853,399,4,567,2,At-Risk
AH-105854,22,4,354,2,At-Risk
AH-106901,146,6,2177,0,Loyal Customers
AH-106902,31,9,1444,0,Loyal Customers
AH-106903,380,4,242,2,At-Risk
AH-106904,411,12,2735,3,Champions
AH-1201,600,3,283,1,At-Risk
AH-1202,22,1,2,2,At-Risk
AH-1951,1052,2,58,1,At-Risk
AH-1952,1241,1,88,1,At-Risk
AH-1953,279,6,1338,0,Loyal Customers
AH-2101,881,2,2521,1,At-Risk
AH-2102,458,2,182,1,At-Risk
AH-301,469,4,4559,3,Champions
AH-302,577,3,1072,1,At-Risk
AH-4651,242,2,104,2,At-Risk
AH-4652,799,2,112,1,At-Risk
AH-5851,219,2,61,2,At-Risk
AH-5852,76,7,1019,0,Loyal Customers
AH-6901,59,3,69,2,At-Risk
AH-6902,601,2,831,1,At-Risk
AH-751,38,6,484,2,At-Risk
AH-752,269,1,137,2,At-Risk
AH-753,567,1,30,1,At-Risk
AI-108551,309,4,1437,2,At-Risk
AI-108552,86,7,919,0,Loyal Customers
AI-108553,209,1,14,2,At-Risk
AI-108554,14,10,2613,0,Loyal Customers
AI-8551,561,1,30,1,At-Risk
AI-8552,204,3,410,2,At-Risk
AJ-107801,125,5,5785,3,Champions
AJ-107802,49,7,920,0,Loyal Customers
AJ-107803,62,6,391,2,At-Risk
AJ-107804,76,7,3525,3,Champions
AJ-107951,63,6,809,0,Loyal Customers
AJ-107952,154,6,547,2,At-Risk
AJ-107953,190,3,271,2,At-Risk
AJ-107954,167,7,775,0,Loyal Customers
AJ-109451,92,9,1688,0,Loyal Customers
AJ-109452,416,7,3148,3,Champions
AJ-109453,29,6,3421,3,Champions
AJ-109454,86,7,1468,0,Loyal Customers
AJ-109601,49,4,1552,2,At-Risk
AJ-109602,208,6,1076,0,Loyal Customers
AJ-109603,52,4,358,2,At-Risk
AJ-109604,75,3,145,2,At-Risk
AJ-7801,212,7,899,0,Loyal Customers
AJ-7802,574,1,19,1,At-Risk
AJ-7803,2,4,848,2,At-Risk
AJ-7951,37,5,378,2,At-Risk
AJ-7952,122,5,256,2,At-Risk
AJ-9451,105,5,451,2,At-Risk
AJ-9452,341,2,987,2,At-Risk
AJ-9601,412,6,330,2,At-Risk
AJ-9602,295,4,518,2,At-Risk
AM-103601,16,8,2606,0,Loyal Customers
AM-103602,22,11,2751,0,Loyal Customers
AM-103603,97,9,2230,0,Loyal Customers
AM-103604,29,5,355,2,At-Risk
AM-107051,323,10,5176,3,Champions
AM-107052,26,7,850,0,Loyal Customers
AM-107053,139,5,440,2,At-Risk
AM-107054,163,8,1495,0,Loyal Customers
AM-3601,191,4,289,2,At-Risk
AM-3602,176,2,1024,2,At-Risk
AM-7051,137,4,489,2,At-Risk
AM-7052,378,1,24,2,At-Risk
AM-7053,892,1,20,1,At-Risk
AO-108101,37,12,4027,3,Champions
AO-108102,189,10,3068,3,Champions
AO-108103,122,4,544,2,At-Risk
AO-108104,502,1,161,1,At-Risk
AO-8101,8,1,16,2,At-Risk
AO-8102,342,1,22,2,At-Risk
AO-8103,126,3,76,2,At-Risk
AP-107201,45,7,4030,3,Champions
AP-107202,47,2,1763,2,At-Risk
AP-107203,180,3,716,2,At-Risk
AP-107204,42,8,205,0,Loyal Customers
AP-109151,77,9,2925,3,Champions
AP-109152,132,6,1339,0,Loyal Customers
AP-109153,318,7,1524,0,Loyal Customers
AP-109154,99,10,361,0,Loyal Customers
AP-7201,38,4,297,2,At-Risk
AP-7202,128,2,130,2,At-Risk
AP-9151,464,3,198,2,At-Risk
AP-9152,93,2,386,2,At-Risk
AR-103451,103,9,2273,0,Loyal Customers
AR-103452,30,9,4305,3,Champions
AR-103453,316,4,1348,2,At-Risk
AR-103454,112,4,804,2,At-Risk
AR-104051,55,6,1861,0,Loyal Customers
AR-104052,112,7,1785,0,Loyal Customers
AR-104053,145,4,250,2,At-Risk
AR-104054,126,5,1989,0,Loyal Customers
AR-105101,238,11,1219,0,Loyal Customers
AR-105102,63,7,1968,0,Loyal Customers
AR-105103,77,6,436,2,At-Risk
AR-105104,15,5,240,2,At-Risk
AR-105401,649,4,587,1,At-Risk
AR-105402,122,2,64,2,At-Risk
AR-105403,416,3,124,2,At-Risk
AR-105404,7,6,5610,3,Champions
AR-105701,3,7,1854,0,Loyal Customers
AR-105702,105,4,1725,2,At-Risk
AR-105703,3,6,876,0,Loyal Customers
AR-105704,535,1,36,1,At-Risk
AR-108251,379,4,411,2,At-Risk
AR-108252,80,15,3760,3,Champions
AR-108253,23,11,1612,0,Loyal Customers
AR-108254,59,8,1931,0,Loyal Customers
AR-3451,696,3,290,1,At-Risk
AR-3452,142,6,784,0,Loyal Customers
AR-4051,377,2,144,2,At-Risk
AR-4052,223,4,410,2,At-Risk
AR-5101,241,2,371,2,At-Risk
AR-5102,105,8,1358,0,Loyal Customers
AR-5401,222,4,205,2,At-Risk
AR-5402,398,4,208,2,At-Risk
AR-5701,295,3,219,2,At-Risk
AR-5702,71,6,829,0,Loyal Customers
AR-8251,34,3,163,2,At-Risk
AR-8252,75,4,201,2,At-Risk
AS-100451,77,5,2056,0,Loyal Customers
AS-100452,24,13,1515,0,Loyal Customers
AS-100453,220,3,285,2,At-Risk
AS-100454,89,7,2970,0,Loyal Customers
AS-100901,54,5,996,2,At-Risk
AS-100902,16,8,2720,0,Loyal Customers
AS-100903,192,10,2284,0,Loyal Customers
AS-100904,29,9,471,0,Loyal Customers
AS-101351,117,11,2058,0,Loyal Customers
AS-101352,628,3,1112,1,At-Risk
AS-101353,236,3,346,2,At-Risk
AS-101354,42,2,17,2,At-Risk
AS-102251,72,10,4463,3,Champions
AS-102252,13,6,1038,0,Loyal Customers
AS-102253,106,7,584,0,Loyal Customers
AS-102254,23,5,552,2,At-Risk
AS-102401,22,7,1694,0,Loyal Customers
AS-102402,44,9,1117,0,Loyal Customers
AS-102403,13,8,1617,0,Loyal Customers
AS-102404,193,7,203,0,Loyal Customers
AS-102851,139,9,1565,0,Loyal Customers
AS-102852,20,7,3093,3,Champions
AS-102853,19,8,508,0,Loyal Customers
AS-102854,20,6,3082,0,Loyal Customers
AS-106301,381,6,741,2,At-Risk
AS-106302,36,5,1224,2,At-Risk
AS-106303,629,1,80,1,At-Risk
AS-106304,93,7,652,0,Loyal Customers
AS-1351,967,1,187,1,At-Risk
AS-1352,93,4,2082,2,At-Risk
AS-2251,3,3,117,2,At-Risk
AS-2252,385,1,28,2,At-Risk
AS-2253,671,3,189,1,At-Risk
AS-2401,1198,1,5,1,At-Risk
AS-2402,499,4,1558,2,At-Risk
AS-2851,223,7,712,0,Loyal Customers
AS-2852,100,6,2838,0,Loyal Customers
AS-451,777,2,423,1,At-Risk
AS-452,234,1,87,2,At-Risk
AS-6301,561,8,990,0,Loyal Customers
AS-6302,34,3,71,2,At-Risk
AS-901,22,4,118,2,At-Risk
AT-104351,127,6,378,2,At-Risk
AT-104352,13,4,6303,3,Champions
AT-104353,17,8,2949,0,Loyal Customers
AT-104354,22,6,53,2,At-Risk
AT-107351,78,4,1905,2,At-Risk
AT-107352,3,8,1067,0,Loyal Customers
AT-107353,37,7,1676,0,Loyal Customers
AT-107354,14,10,3344,3,Champions
AT-4351,213,4,399,2,At-Risk
AT-4352,29,8,389,0,Loyal Customers
AT-7351,1057,1,10,1,At-Risk
AT-7352,70,4,364,2,At-Risk
AW-108401,119,7,1604,0,Loyal Customers
AW-108402,17,5,848,2,At-Risk
AW-108403,428,9,540,0,Loyal Customers
AW-108404,21,4,342,2,At-Risk
AW-109301,59,5,274,2,At-Risk
AW-109302,36,5,2591,0,Loyal Customers
AW-109303,56,5,1588,0,Loyal Customers
AW-109304,47,7,1303,0,Loyal Customers
AW-8401,57,7,418,0,Loyal Customers
AW-9301,171,4,268,2,At-Risk
AW-9302,38,2,13,2,At-Risk
AY-105551,211,5,470,2,At-Risk
AY-105552,150,3,2351,2,At-Risk
AY-105553,640,4,512,1,At-Risk
AY-105554,15,4,149,2,At-Risk
AY-5551,249,5,442,2,At-Risk
AY-5552,36,6,1476,0,Loyal Customers
AZ-107501,71,4,742,2,At-Risk
AZ-107502,112,4,544,2,At-Risk
AZ-107503,227,4,300,2,At-Risk
AZ-107504,161,6,609,2,At-Risk
AZ-7501,27,5,472,2,At-Risk
AZ-7502,816,1,96,1,At-Risk
AZ-7503,149,4,276,2,At-Risk
BB-109901,97,11,3725,3,Champions
BB-109902,15,5,627,2,At-Risk
BB-109903,52,9,1291,0,Loyal Customers
BB-109904,106,5,358,2,At-Risk
BB-115451,44,4,232,2,At-Risk
BB-115452,34,7,1402,0,Loyal Customers
BB-115453,41,6,270,2,At-Risk
BB-115454,29,9,1717,0,Loyal Customers
BB-15451,157,3,125,2,At-Risk
BB-15452,50,2,77,2,At-Risk
BB-9901,51,3,117,2,At-Risk
BB-9902,79,4,315,2,At-Risk
BC-111251,969,2,71,1,At-Risk
BC-111252,42,12,2325,0,Loyal Customers
BC-111253,34,5,660,2,At-Risk
BC-111254,203,9,1650,0,Loyal Customers
BC-11251,30,3,34,2,At-Risk
BC-11252,132,3,140,2,At-Risk
BD-113201,112,5,486,2,At-Risk
BD-113202,206,8,1909,0,Loyal Customers
BD-113203,6,7,1238,0,Loyal Customers
BD-113204,34,12,4963,3,Champions
BD-115001,89,6,3761,3,Champions
BD-115002,20,8,2422,0,Loyal Customers
BD-115003,126,7,1095,0,Loyal Customers
BD-115004,36,6,770,0,Loyal Customers
BD-115601,45,4,852,2,At-Risk
BD-115602,76,7,5005,3,Champions
BD-115603,8,6,864,0,Loyal Customers
BD-115604,279,2,164,2,At-Risk
BD-116051,267,6,3038,0,Loyal Customers
BD-116052,790,3,266,1,At-Risk
BD-116053,992,3,403,1,At-Risk
BD-116054,98,7,722,0,Loyal Customers
BD-116201,138,9,2144,0,Loyal Customers
BD-116202,56,7,1162,0,Loyal Customers
BD-116203,50,3,306,2,At-Risk
BD-116204,70,6,1284,0,Loyal Customers
BD-116351,241,7,2666,0,Loyal Customers
BD-116352,13,10,1445,0,Loyal Customers
BD-116353,164,5,508,2,At-Risk
BD-116354,10,3,186,2,At-Risk
BD-117251,177,8,2519,0,Loyal Customers
BD-117252,190,6,736,2,At-Risk
BD-117253,5,10,2632,0,Loyal Customers
BD-117254,94,6,1082,0,Loyal Customers
BD-117701,76,5,826,2,At-Risk
BD-117702,198,7,2240,0,Loyal Customers
BD-117703,36,8,583,0,Loyal Customers
BD-117704,328,6,462,2,At-Risk
BD-13201,290,1,57,2,At-Risk
BD-13202,6,5,197,2,At-Risk
BD-15001,399,3,52,2,At-Risk
BD-15601,188,2,137,2,At-Risk
BD-15602,91,3,1408,2,At-Risk
BD-16051,276,3,208,2,At-Risk
BD-16052,353,2,24,2,At-Risk
BD-16201,217,4,306,2,At-Risk
BD-16202,118,7,368,0,Loyal Customers
BD-16351,465,4,182,2,At-Risk
BD-16352,325,5,4280,3,Champions
BD-17251,101,4,1979,2,At-Risk
BD-17252,149,9,1077,0,Loyal Customers
BD-17701,454,3,121,2,At-Risk
BD-17702,239,2,1148,2,At-Risk
BE-113351,36,9,2606,0,Loyal Customers
BE-113352,91,12,4837,3,Champions
BE-113353,80,11,1542,0,Loyal Customers
BE-113354,120,5,767,2,At-Risk
BE-114101,121,10,3415,3,Champions
BE-114102,85,7,962,0,Loyal Customers
BE-114103,191,8,836,0,Loyal Customers
BE-114104,99,5,2262,0,Loyal Customers
BE-114551,28,9,4553,3,Champions
BE-114552,4,7,757,0,Loyal Customers
BE-114553,185,5,442,2,At-Risk
BE-114554,255,6,373,2,At-Risk
BE-13351,868,2,136,1,At-Risk
BE-13352,573,3,615,1,At-Risk
BE-14101,22,3,694,2,At-Risk
BE-14102,65,4,141,2,At-Risk
BE-14551,147,1,167,2,At-Risk
BE-14552,547,1,301,1,At-Risk
BF-10051,1347,1,181,1,At-Risk
BF-10052,735,1,4,1,At-Risk
BF-10201,160,5,829,2,At-Risk
BF-10202,97,2,666,2,At-Risk
BF-10801,674,3,913,1,At-Risk
BF-10802,916,1,526,1,At-Risk
BF-10803,210,2,58,2,At-Risk
BF-109751,36,9,944,0,Loyal Customers
BF-109752,120,2,833,2,At-Risk
BF-109753,531,4,1049,1,At-Risk
BF-109754,92,7,112,0,Loyal Customers
BF-110051,9,9,7409,3,Champions
BF-110052,55,7,2099,0,Loyal Customers
BF-110053,92,5,910,2,At-Risk
BF-110054,40,4,55,2,At-Risk
BF-110201,113,3,1704,2,At-Risk
BF-110202,16,8,1016,0,Loyal Customers
BF-110203,189,5,737,2,At-Risk
BF-110204,75,8,1953,0,Loyal Customers
BF-110801,56,9,2825,0,Loyal Customers
BF-110802,335,4,1826,2,At-Risk
BF-110803,159,5,1504,2,At-Risk
BF-110804,26,3,117,2,At-Risk
BF-111701,58,4,1204,2,At-Risk
BF-111702,59,8,998,0,Loyal Customers
BF-111703,20,8,1562,0,Loyal Customers
BF-111704,17,11,2209,0,Loyal Customers
BF-112151,134,10,1414,0,Loyal Customers
BF-112152,27,7,2427,0,Loyal Customers
BF-112153,483,6,592,2,At-Risk
BF-112154,66,4,1094,2,At-Risk
BF-112751,737,1,27,1,At-Risk
BF-112752,7,10,2545,0,Loyal Customers
BF-112753,7,9,2698,0,Loyal Customers
BF-112754,58,3,717,2,At-Risk
BF-11701,551,2,72,1,At-Risk
BF-11702,194,4,594,2,At-Risk
BF-12151,118,5,241,2,At-Risk
BF-12751,1119,1,24,1,At-Risk
BF-12752,129,6,806,0,Loyal Customers
BF-9751,287,5,532,2,At-Risk
BF-9752,23,3,336,2,At-Risk
BG-10351,601,1,124,1,At-Risk
BG-110351,117,9,2960,3,Champions
BG-110352,30,6,3791,3,Champions
BG-110353,136,10,720,0,Loyal Customers
BG-110354,29,8,2279,0,Loyal Customers
BG-116951,69,6,878,0,Loyal Customers
BG-116952,384,1,588,2,At-Risk
BG-116953,10,6,723,0,Loyal Customers
BG-116954,37,6,1800,0,Loyal Customers
BG-117401,85,6,3919,3,Champions
BG-117402,7,7,826,0,Loyal Customers
BG-117403,119,5,2770,0,Loyal Customers
BG-117404,58,6,666,0,Loyal Customers
BG-16951,45,4,111,2,At-Risk
BG-16952,481,1,48,1,At-Risk
BG-17401,17,2,101,2,At-Risk
BG-17402,44,2,28,2,At-Risk
BH-117101,29,4,2220,2,At-Risk
BH-117102,52,6,6521,3,Champions
BH-117103,52,13,3308,3,Champions
BH-117104,24,8,1652,0,Loyal Customers
BH-17101,274,3,562,2,At-Risk
BH-17102,94,7,165,0,Loyal Customers
BK-112601,29,7,4909,3,Champions
BK-112602,27,8,1230,0,Loyal Customers
BK-112603,108,6,603,2,At-Risk
BK-112604,78,6,203,2,At-Risk
BK-12601,125,1,125,2,At-Risk
BK-12602,41,5,78,2,At-Risk
BM-111401,143,7,1798,0,Loyal Customers
BM-111402,12,6,520,0,Loyal Customers
BM-111403,9,12,2418,0,Loyal Customers
BM-111404,308,4,2346,2,At-Risk
BM-11401,371,2,86,2,At-Risk
BM-11402,14,4,293,2,At-Risk
BM-115751,45,9,3188,3,Champions
BM-115752,94,4,527,2,At-Risk
BM-115753,35,6,299,2,At-Risk
BM-115754,101,6,428,2,At-Risk
BM-116501,157,3,586,2,At-Risk
BM-116502,155,7,635,0,Loyal Customers
BM-116503,199,3,486,2,At-Risk
BM-116504,34,11,1799,0,Loyal Customers
BM-117851,41,14,4132,3,Champions
BM-117852,3,7,3541,3,Champions
BM-117853,37,5,948,2,At-Risk
BM-117854,219,10,1220,0,Loyal Customers
BM-15751,41,5,1236,2,At-Risk
BM-15752,198,4,263,2,At-Risk
BM-16501,1190,2,64,1,At-Risk
BM-16502,1154,1,17,1,At-Risk
BM-16503,482,5,770,2,At-Risk
BM-17851,85,7,1059,0,Loyal Customers
BM-17852,49,2,149,2,At-Risk
BN-114701,181,10,4599,3,Champions
BN-114702,36,6,2613,0,Loyal Customers
BN-114703,12,9,3052,3,Champions
BN-114704,25,4,241,2,At-Risk
BN-115151,76,4,453,2,At-Risk
BN-115152,21,5,1180,2,At-Risk
BN-115153,433,9,1166,0,Loyal Customers
BN-115154,10,5,488,2,At-Risk
BN-14701,23,3,237,2,At-Risk
BN-14702,52,4,1476,2,At-Risk
BN-15151,100,4,773,2,At-Risk
BN-15152,28,4,777,2,At-Risk
BO-113501,140,8,1770,0,Loyal Customers
BO-113502,112,4,815,2,At-Risk
BO-113503,1115,3,225,1,At-Risk
BO-113504,138,5,688,2,At-Risk
BO-114251,6,7,1060,0,Loyal Customers
BO-114252,175,8,1560,0,Loyal Customers
BO-114253,98,4,3235,0,Loyal Customers
BO-114254,76,2,131,2,At-Risk
BO-13501,22,3,369,2,At-Risk
BO-13502,329,3,87,2,At-Risk
BO-14251,2,4,1506,2,At-Risk
BO-14252,376,4,316,2,At-Risk
BP-10501,121,4,459,2,At-Risk
BP-10502,12,5,131,2,At-Risk
BP-10951,218,3,160,2,At-Risk
BP-10952,12,3,249,2,At-Risk
BP-110501,364,3,448,2,At-Risk
BP-110502,6,7,1195,0,Loyal Customers
BP-110503,42,6,808,0,Loyal Customers
BP-110504,84,5,644,2,At-Risk
BP-110951,54,4,427,2,At-Risk
BP-110952,3,8,1293,0,Loyal Customers
BP-110953,331,8,1484,0,Loyal Customers
BP-110954,18,12,1107,0,Loyal Customers
BP-111551,33,6,645,0,Loyal Customers
BP-111552,50,7,482,0,Loyal Customers
BP-111553,43,5,1477,0,Loyal Customers
BP-111554,90,6,241,2,At-Risk
BP-111851,37,5,3753,3,Champions
BP-111852,14,7,1573,0,Loyal Customers
BP-111853,447,7,1600,0,Loyal Customers
BP-111854,2,9,2082,0,Loyal Customers
BP-112301,73,7,1403,0,Loyal Customers
BP-112302,150,5,2611,0,Loyal Customers
BP-112303,114,6,1136,0,Loyal Customers
BP-112304,40,5,1175,2,At-Risk
BP-112901,101,8,1802,0,Loyal Customers
BP-112902,14,5,457,2,At-Risk
BP-112903,258,9,2168,0,Loyal Customers
BP-112904,13,7,1803,0,Loyal Customers
BP-11551,420,1,61,2,At-Risk
BP-11552,975,1,116,1,At-Risk
BP-11553,262,4,551,2,At-Risk
BP-11851,5,4,481,2,At-Risk
BP-11852,6,6,684,0,Loyal Customers
BP-12301,390,4,2915,2,At-Risk
BP-12302,84,4,369,2,At-Risk
BP-12901,370,1,65,2,At-Risk
BP-12902,752,3,218,1,At-Risk
BS-113651,1,4,349,2,At-Risk
BS-113652,120,5,510,2,At-Risk
BS-113653,26,12,1755,0,Loyal Customers
BS-113654,559,5,1373,1,At-Risk
BS-113801,115,6,3396,3,Champions
BS-113802,94,4,619,2,At-Risk
BS-113803,273,8,1059,0,Loyal Customers
BS-113804,29,5,1988,0,Loyal Customers
BS-115901,83,7,1324,0,Loyal Customers
BS-115902,372,6,355,2,At-Risk
BS-115903,428,4,836,2,At-Risk
BS-115904,36,6,1939,0,Loyal Customers
BS-116651,120,4,435,2,At-Risk
BS-116652,30,9,1815,0,Loyal Customers
BS-116653,37,8,1257,0,Loyal Customers
BS-116654,583,3,143,1,At-Risk
BS-117551,283,7,2791,0,Loyal Customers
BS-117552,7,6,2069,0,Loyal Customers
BS-117553,19,9,1811,0,Loyal Customers
BS-117554,2,7,1352,0,Loyal Customers
BS-118001,220,5,4395,3,Champions
BS-118002,135,6,833,0,Loyal Customers
BS-118003,10,8,1219,0,Loyal Customers
BS-118004,266,2,133,2,At-Risk
BS-13651,604,3,564,1,At-Risk
BS-13652,38,2,101,2,At-Risk
BS-13801,132,3,128,2,At-Risk
BS-13802,428,2,310,2,At-Risk
BS-15901,618,2,35,1,At-Risk
BS-15902,238,3,650,2,At-Risk
