"customer_id","first_purchase_year"
"EB-39301",2011
"KL-65552",2012
"SP-209202",2011
"CP-123403",2011
"DK-29851",2011
"CM-127152",2012
"GB-145752",2011
"NW-84003",2011
"PS-189702",2011
"BF-10052",2012
"RS-94201",2011
"SP-206201",2011
"JK-61202",2014
"JS-59403",2011
"CR-26251",2011
"SF-200654",2011
"MM-182803",2011
"MC-74252",2014
"KC-162553",2011
"MV-181903",2012
"VM-218351",2011
"EB-138404",2011
"RF-98401",2011
"MW-182201",2011
"KE-64202",2011
"LH-167501",2012
"AR-105104",2011
"AO-8102",2014
"JK-156404",2011
"JG-158054",2011
"CL-18903",2013
"SG-104701",2013
"ML-177553",2012
"TT-210703",2011
"GR-45602",2013
"RH-196003",2012
"SM-209503",2011
"EB-38401",2013
"KD-62701",2012
"DB-136152",2011
"BD-117254",2012
"CB-120253",2012
"SC-200504",2011
"KH-163302",2012
"JE-157452",2012
"FC-143351",2012
"NW-184004",2011
"GT-47102",2013
"CS-118451",2011
"HP-48152",2013
"NF-183853",2011
"AC-104202",2011
"SD-204851",2011
"FO-143053",2012
"SB-201854",2011
"JH-61803",2013
"YC-218953",2011
"SC-202604",2011
"BD-17251",2013
"SV-209351",2011
"AG-103901",2013
"LH-169003",2012
"TS-212052",2011
"SJ-205004",2011
"IM-150701",2012
"DA-34501",2011
"LT-167651",2011
"SD-104851",2013
"LR-170353",2011
"LC-169603",2012
"AH-101201",2013
"AS-106302",2012
"AB-101651",2012
"CD-22801",2013
"DK-132254",2011
"CY-27451",2011
"BT-13952",2014
"SO-103351",2011
"AB-152",2011
"GZ-145451",2011
"VP-217301",2011
"LW-169904",2013
"MV-81902",2012
"MC-174254",2011
"HR-48302",2012
"DJ-34202",2014
"KB-165852",2011
"AM-107051",2011
"AB-1052",2014
"GH-144852",2011
"JO-151452",2011
"EB-41701",2012
"DK-128954",2012
"CM-24452",2011
"BH-17101",2011
"SW-203503",2013
"BF-110801",2011
"EN-137802",2011
"NG-184301",2011
"ME-180102",2011
"Dl-136004",2011
"KB-162403",2012
"KM-166602",2011
"KD-162701",2011
"LF-71851",2012
"MM-179201",2011
"TB-214001",2011
"DJ-36301",2013
"RP-192703",2011
"EH-139903",2011
"EB-37052",2011
"DV-134651",2011
"BK-112604",2011
"LC-171404",2011
"AR-4052",2011
"PS-190451",2011
"CC-124752",2013
"HM-148601",2011
"SH-206353",2011
"SN-105602",2011
"HK-48901",2014
"EM-41402",2012
"TG-116401",2012
"SC-203053",2011
"CD-119203",2011
"SS-205901",2012
"TB-212804",2011
"DP-131053",2011
"DG-133001",2011
"BC-11251",2011
"GZ-145452",2012
"PM-91352",2011
"ME-73202",2013
"RB-97053",2013
"DO-136453",2012
"YS-118801",2011
"BD-116351",2011
"RP-193901",2011
"SC-206953",2011
"MG-178753",2011
"MF-182503",2011
"DE-32551",2011
"GM-144554",2011
"MD-178601",2011
"MT-180702",2012
"SN-205601",2011
"AA-104804",2011
"RM-196753",2012
"ZC-219102",2011
"GT-147102",2011
"DK-130904",2012
"TS-213704",2011
"SP-105451",2012
"KE-64201",2013
"EM-140952",2011
"AG-109003",2012
"LA-167803",2011
"HD-147853",2011
"CM-124451",2011
"GB-45303",2011
"PO-191953",2011
"MK-181603",2011
"PB-191054",2011
"MC-78451",2011
"DK-28952",2012
"BE-13351",2011
"CA-120552",2012
"LW-168251",2011
"PB-191501",2011
"JE-56102",2012
"CC-124301",2011
"DK-132252",2011
"SC-202301",2011
"DC-32851",2012
"JS-156853",2011
"JD-60601",2012
"RD-94803",2011
"TN-210403",2011
"RP-98551",2011
"TP-215654",2012
"TP-211303",2011
"DV-134653",2011
"GT-146353",2012
"Dp-132404",2011
"RA-92852",2013
"EH-140052",2011
"MH-174551",2012
"CM-21901",2014
"TC-209804",2011
"HF-149953",2012
"LS-69452",2013
"EN-137803",2011
"JB-160003",2011
"ED-38851",2011
"AP-7201",2011
"BT-116801",2011
"JA-59702",2013
"KD-163451",2012
"SR-204252",2011
"CS-124601",2011
"PV-89851",2011
"CR-126252",2011
"LC-168704",2012
"LS-172452",2013
"MG-176802",2011
"AS-100904",2011
"SC-106801",2011
"MW-182354",2011
"LR-170352",2011
"CR-128201",2012
"EM-42001",2014
"AH-105851",2011
"NS-186401",2012
"MH-180252",2012
"MD-73503",2013
"SC-102301",2012
"AS-100452",2011
"PO-88502",2011
"MM-172601",2011
"AH-106902",2011
"ME-173201",2011
"BG-117404",2011
"AH-100302",2011
"BO-113502",2012
"DG-33001",2012
"AW-108402",2011
"TB-215201",2011
"RF-193452",2013
"BT-116804",2011
"AG-104952",2011
"KL-165554",2011
"SC-200953",2013
"VW-117751",2013
"BW-10652",2014
"JH-54302",2011
"EH-40052",2011
"EJ-141551",2011
"LC-169303",2012
"MM-180553",2011
"CS-19502",2011
"NG-84301",2014
"JL-158503",2012
"JD-58951",2011
"MZ-73352",2013
"FW-143951",2011
"DB-35551",2014
"CM-121152",2011
"GM-44402",2014
"TB-212802",2011
"XP-118652",2014
"LT-171102",2011
"CS-124004",2011
"CC-22203",2012
"JK-153254",2011
"RD-96601",2011
"BF-11701",2013
"BD-115001",2011
"NH-186102",2011
"AB-101054",2011
"PJ-88352",2013
"TB-114001",2012
"LW-172152",2011
"LR-169153",2011
"TS-215051",2011
"JG-151154",2011
"AS-102254",2011
"EB-38702",2011
"KS-163004",2012
"DL-128653",2011
"DP-133904",2011
"TM-210101",2012
"MC-181303",2011
"RB-193301",2011
"FG-142603",2014
"PP-89551",2011
"RB-94351",2012
"CC-26851",2011
"PA-190604",2011
"JM-52651",2013
"HP-148153",2011
"RE-194052",2011
"AM-107052",2011
"EM-41401",2012
"DF-31351",2014
"LT-171103",2011
"GT-146351",2011
"QJ-192551",2011
"KT-64801",2011
"CB-25351",2014
"SH-103951",2011
"JK-52052",2011
"GK-146202",2011
"ML-73952",2012
"RA-199453",2012
"PN-187753",2011
"HH-50102",2013
"RD-198102",2011
"ME-77252",2014
"MZ-75153",2013
"CM-121154",2012
"GW-146054",2011
"CC-121452",2012
"EM-40652",2011
"LL-168402",2011
"JF-53552",2011
"BS-113654",2011
"TZ-115802",2011
"JL-151302",2011
"BT-13951",2013
"DC-128502",2011
"JG-151151",2012
"GR-145601",2012
"AG-106752",2011
"MB-180851",2012
"LC-69301",2011
"TA-213854",2011
"EH-139452",2012
"BS-16651",2013
"TG-113101",2014
"JK-56253",2011
"EJ-41551",2011
"YC-218952",2011
"MZ-175152",2011
"RH-196002",2011
"DE-132552",2012
"JD-61502",2011
"SA-108301",2013
"AM-103603",2011
"CM-22351",2014
"BD-16352",2011
"TP-211301",2011
"NB-186551",2012
"RB-193602",2011
"CC-126702",2011
"AG-3001",2012
"KW-164351",2013
"DW-35402",2011
"TS-210851",2011
"DS-31801",2014
"TS-216104",2011
"TS-113403",2011
"CS-124604",2014
"CM-118302",2011
"GD-145903",2011
"BN-115152",2012
"SG-208904",2011
"PB-91051",2014
"SC-206803",2012
"CC-24301",2012
"BN-115153",2012
"IL-151004",2011
"GT-147104",2011
"SW-202451",2011
"JH-158202",2011
"EH-139451",2012
"MW-182202",2012
"DR-129401",2011
"DH-36752",2012
"BT-116803",2011
"HG-49652",2014
"PG-188201",2011
"EA-140354",2011
"SW-104552",2013
"LS-172001",2011
"JK-61201",2011
"GK-146201",2012
"CK-25951",2013
"EH-139902",2011
"MM-180552",2011
"RO-97802",2011
"BM-111404",2011
"PW-190302",2011
"MC-181301",2011
"CP-20853",2011
"MD-178603",2011
"HL-150404",2011
"KH-66301",2012
"AI-8552",2011
"AA-106453",2011
"PS-190452",2012
"NH-186101",2011
"JE-57151",2011
"SF-200651",2011
"AG-5252",2013
"SW-202452",2011
"JR-56701",2012
"RP-198554",2011
"DV-134654",2011
"CC-121453",2011
"PO-191954",2011
"RF-93451",2013
"JP-161351",2011
"DB-34051",2012
"EB-139752",2012
"CJ-120101",2012
"JO-151451",2012
"AG-2702",2013
"NG-183553",2011
"CK-23251",2013
"TS-213701",2011
"DK-132253",2011
"SS-205902",2011
"PK-90751",2013
"GH-144102",2011
"GM-144402",2011
"DR-29402",2013
"AA-3152",2011
"KB-165854",2011
"SV-203652",2011
"KC-62552",2012
"JC-53401",2011
"BD-115602",2011
"DD-135703",2011
"JS-160304",2011
"VW-217752",2011
"DL-128651",2011
"AH-101953",2011
"KD-166154",2012
"TC-112951",2011
"TC-114752",2013
"TB-211903",2011
"MG-176951",2012
"SS-205153",2013
"AH-106904",2011
"ES-40202",2013
"SE-201103",2012
"EM-140951",2013
"SP-209201",2011
"CR-25802",2013
"SN-205603",2011
"SC-108001",2014
"MJ-177404",2012
"DE-132551",2012
"NC-186254",2011
"MY-182951",2011
"LW-172154",2011
"LC-170502",2012
"CM-118301",2011
"AR-5402",2012
"HG-149653",2011
"AB-2553",2012
"BM-15752",2011
"RC-199601",2011
"JM-155802",2011
"GG-146504",2011
"ON-187153",2011
"MS-177701",2012
"LS-172002",2012
"RD-197202",2011
"LT-71102",2011
"LS-172451",2012
"EB-38701",2012
"KB-163153",2011
"RB-197052",2011
"NC-184153",2012
"KH-63602",2013
"KC-166751",2012
"CB-124153",2011
"AS-102401",2011
"BW-110652",2011
"SC-104402",2014
"JJ-54452",2012
"BP-11851",2013
"BV-112454",2012
"ON-87152",2012
"JD-158953",2011
"SJ-205001",2011
"MB-180854",2011
"AH-1952",2011
"PS-187601",2011
"AJ-7801",2011
"SV-209352",2011
"JJ-154453",2013
"MG-176504",2011
"MM-179203",2011
"TS-111602",2012
"JB-154002",2012
"TZ-215804",2011
"DP-33902",2014
"PR-88802",2012
"EB-39752",2012
"CH-20702",2012
"CL-27002",2013
"ED-138852",2011
"KM-62252",2013
"JH-159854",2011
"MH-180251",2012
"PO-188502",2011
"SC-102302",2011
"AA-4802",2012
"RM-93751",2014
"EJ-137204",2011
"SS-208751",2011
"CW-119052",2012
"Co-126401",2011
"CG-125203",2013
"JK-60901",2013
"AO-108102",2011
"BT-15302",2014
"EM-141404",2011
"ME-180104",2011
"DB-32102",2013
"HE-148003",2011
"KH-166903",2011
"AF-108854",2011
"BW-112003",2011
"AH-102102",2011
"YC-218954",2011
"CS-124603",2011
"RL-96152",2011
"AP-109154",2011
"AG-102702",2012
"JW-160753",2011
"LH-169002",2012
"AW-109303",2011
"DW-35852",2014
"TA-213853",2011
"GH-144101",2011
"HL-150402",2011
"MY-173803",2011
"CT-19951",2011
"KL-165551",2011
"MW-82352",2012
"AH-751",2011
"VB-217452",2011
"RC-198254",2011
"JH-159101",2011
"PR-188801",2011
"NW-84001",2011
"JH-59851",2011
"ER-138551",2012
"BT-113951",2011
"BO-114251",2011
"MO-175004",2011
"RA-192851",2013
"TC-214753",2011
"TM-210104",2011
"RM-97502",2012
"AS-451",2012
"SN-207104",2011
"DK-133754",2011
"AS-2251",2012
"MM-72601",2014
"MF-76652",2011
"CP-20851",2012
"IM-150704",2011
"EB-141701",2011
"DP-131652",2011
"BP-10952",2012
"TR-213254",2011
"DB-129103",2011
"DW-31951",2011
"DJ-136302",2011
"JF-154902",2011
"LR-170354",2011
"DD-35702",2014
"SU-206651",2013
"AR-103454",2011
"JB-159252",2011
"AS-102853",2012
"MS-173653",2011
"RD-196604",2012
"TS-116551",2014
"EA-40351",2013
"AH-106901",2011
"TB-211902",2011
"TS-213703",2013
"BC-111253",2011
"JD-161502",2012
"JB-160454",2012
"JO-152801",2011
"DB-135551",2011
"RA-99152",2013
"MZ-173353",2011
"MS-173651",2011
"DR-128802",2011
"LC-168702",2011
"PG-88951",2013
"HK-48902",2013
"VT-117001",2011
"HL-50401",2012
"PG-188953",2011
"DB-136601",2011
"DC-28502",2013
"CC-21452",2011
"BT-14852",2013
"AS-106304",2011
"MF-82502",2011
"VD-216703",2011
"SF-202002",2011
"KD-162704",2011
"KB-163152",2011
"CR-25801",2014
"VP-217303",2011
"EH-139454",2011
"AR-5701",2012
"JS-55952",2011
"CR-125802",2013
"KA-165252",2011
"CC-21002",2012
"SS-204103",2011
"JM-156553",2011
"JF-154151",2012
"SC-207252",2011
"MO-178001",2013
"MZ-175154",2011
"MC-175902",2011
"RB-193603",2011
"AG-103302",2011
"TZ-215801",2011
"JP-61351",2013
"SR-107402",2014
"VT-217003",2013
"RH-96001",2012
"RM-96753",2011
"SR-207403",2012
"MH-174402",2011
"JG-153102",2011
"SM-100051",2012
"BP-110504",2011
"BG-110352",2011
"LC-71402",2011
"MD-178602",2011
"DR-28801",2012
"KN-164503",2011
"JH-58202",2011
"BT-116802",2011
"AR-105401",2011
"TC-111451",2012
"HM-49802",2011
"PL-189252",2011
"BD-15602",2011
"KN-67051",2011
"SH-103952",2014
"LM-170654",2011
"AG-107652",2011
"FP-143201",2011
"TW-210254",2011
"MD-73502",2013
"LP-170803",2011
"NF-184754",2011
"CC-125503",2011
"TB-214004",2011
"DB-36152",2014
"KT-64652",2014
"BD-17702",2012
"DB-130601",2011
"JP-155201",2011
"AJ-7802",2013
"CB-125352",2011
"KC-165404",2012
"CM-118303",2011
"NG-184302",2012
"NF-184753",2011
"EH-141851",2011
"SS-205903",2011
"AJ-7952",2012
"MP-79652",2011
"BP-110503",2011
"KN-64501",2011
"TW-110252",2011
"RB-93602",2014
"JO-155501",2012
"BE-14102",2011
"CK-122053",2012
"VG-118052",2012
"GB-145754",2012
"MC-175901",2014
"TS-113402",2013
"BE-114552",2011
"CM-126551",2012
"RD-199004",2011
"TN-210402",2011
"EC-40501",2013
"KT-164802",2011
"AA-6452",2013
"ND-183703",2011
"TS-213702",2011
"DK-30902",2014
"MS-178302",2011
"SM-203203",2011
"EJ-37201",2012
"BN-114703",2012
"RE-94051",2013
"MO-179501",2013
"JS-155951",2012
"MG-181453",2012
"RW-196303",2011
"EM-38101",2012
"BS-115903",2011
"IM-150702",2013
"PL-189253",2012
"EM-138104",2012
"SW-102452",2011
"SC-208002",2011
"AC-104204",2011
"JJ-57602",2011
"MG-82053",2011
"RS-194203",2012
"TS-116101",2011
"JK-60902",2011
"TT-212202",2011
"SS-204102",2012
"BS-18002",2011
"AB-1652",2013
"JF-153553",2012
"BH-117101",2011
"ND-83701",2011
"LS-69753",2012
"AG-3002",2012
"GM-44552",2013
"DM-33452",2011
"DG-133002",2012
"DH-30751",2011
"NG-83552",2012
"CL-127003",2012
"JO-152802",2013
"KW-164352",2011
"JM-155353",2012
"EH-141854",2011
"SU-206653",2011
"AC-4202",2013
"ST-205304",2011
"MG-176501",2011
"SH-199754",2011
"RR-193151",2011
"KB-63151",2012
"NP-186702",2012
"RA-199451",2013
"IG-50852",2012
"SV-103651",2012
"KN-63901",2012
"FM-143804",2012
"TG-113103",2014
"CK-122052",2011
"BF-110804",2011
"DL-133302",2011
"WB-218502",2011
"PO-191801",2012
"NC-86252",2011
"EB-41102",2012
"NP-187002",2011
"DL-133152",2011
"RA-92853",2011
"SD-204853",2011
"CS-119503",2011
"YS-218802",2011
"NP-86852",2014
"JL-158502",2012
"JL-51751",2014
"TB-210552",2011
"AG-103001",2011
"FH-143654",2011
"RD-198104",2011
"PK-190754",2011
"EB-137052",2011
"DB-131203",2014
"RP-192704",2011
"JK-152053",2011
"FC-142451",2011
"PB-191051",2013
"DM-35253",2011
"HE-148004",2013
"TH-112351",2011
"RB-193601",2011
"CV-128051",2012
"AG-104951",2011
"MV-181904",2011
"BP-110953",2011
"CM-26551",2012
"BD-16051",2012
"RH-194954",2011
"PO-91952",2012
"TB-111751",2014
"DB-132103",2011
"SC-207701",2011
"AH-302",2012
"HP-148154",2011
"TD-209951",2011
"PB-88051",2012
"BC-111251",2011
"BS-113804",2011
"ND-184603",2011
"CR-125804",2013
"PS-190454",2011
"DP-31051",2011
"NM-185201",2011
"CL-118902",2011
"PB-192104",2011
"BM-15751",2013
"ML-82652",2013
"TS-110852",2013
"GM-146802",2011
"DP-31052",2012
"LC-169304",2011
"CS-124003",2011
"RC-199603",2012
"HM-49801",2013
"EN-137801",2011
"DW-135853",2011
"GH-44253",2012
"DP-131653",2011
"LA-167804",2011
"SC-202302",2012
"AH-1202",2014
"EG-139003",2011
"SD-104852",2012
"BH-117104",2011
"JA-159701",2013
"TM-210102",2011
"DK-132251",2011
"SV-208154",2012
"CC-121001",2011
"DE-32552",2011
"Dl-136003",2014
"MW-82351",2011
"CR-126251",2011
"CD-119801",2011
"FH-143503",2011
"NB-186552",2011
"MM-80551",2013
"CM-21902",2012
"SR-204254",2011
"KN-164504",2011
"PM-191354",2012
"GH-146651",2011
"AH-2102",2012
"JE-157151",2011
"AF-108851",2012
"EB-138703",2014
"SC-208451",2012
"BD-116051",2011
"ON-187151",2011
"TZ-214452",2012
"KB-62402",2012
"SC-108451",2013
"CJ-118754",2013
"SC-200202",2011
"TB-210554",2013
"MC-176053",2013
"MS-179801",2011
"BO-113504",2013
"LP-70952",2013
"KF-162854",2011
"BF-12151",2013
"CM-122352",2011
"CM-127154",2011
"PO-188652",2011
"RD-96603",2013
"GT-47551",2011
"MP-179651",2011
"FG-42601",2011
"SG-200801",2011
"KN-163904",2011
"AB-602",2011
"VD-116702",2011
"LW-71251",2012
"SO-203354",2012
"DM-29551",2011
"PL-189254",2011
"LH-70202",2012
"RA-198852",2011
"LH-171551",2011
"BH-17102",2012
"SG-100801",2012
"AP-7202",2014
"MF-176651",2011
"CL-127001",2011
"LH-171554",2011
"FP-43202",2014
"CS-124002",2013
"AG-2703",2014
"ES-40203",2011
"JD-60152",2011
"MS-175304",2011
"DJ-136303",2013
"LR-70351",2011
"TB-212801",2012
"GB-145304",2011
"LW-71252",2012
"AO-8101",2014
"AG-4951",2012
"AT-104354",2011
"NS-186404",2011
"CJ-18751",2011
"JK-153252",2011
"DW-134803",2011
"JC-53852",2013
"VP-117601",2013
"BM-17851",2011
"NF-85952",2011
"CL-118901",2011
"AA-3751",2012
"LS-172454",2011
"JL-158353",2011
"CC-124753",2012
"LC-170501",2012
"JS-60303",2012
"SV-108152",2014
"KH-165102",2011
"DO-136451",2011
"KB-164053",2012
"ML-177554",2013
"KW-164353",2012
"MG-182051",2011
"BM-117852",2011
"BO-13501",2012
"AJ-107952",2011
"LC-168854",2011
"HL-150401",2011
"PT-190903",2011
"AC-106154",2012
"PR-188804",2011
"JB-160004",2013
"HR-148301",2011
"JD-160154",2011
"BF-109753",2011
"JS-60301",2013
"JG-151604",2011
"VP-217603",2011
"CR-28201",2011
"DL-133151",2012
"MS-79802",2013
"YC-218951",2011
"JF-155652",2011
"EP-139152",2011
"MK-181604",2011
"AG-104954",2012
"PB-191052",2011
"AH-102104",2011
