"customer_id","active_years"
"AH-1953","3"
"AH-2101","2"
"AH-2102","2"
"AH-301","2"
"AH-302","2"
"AH-4651","2"
"AH-4652","2"
"AH-5852","4"
"AH-6901","3"
"AH-6902","2"
"AH-751","4"
"AI-108551","3"
"AI-108552","3"
"AI-108554","4"
"AI-8552","3"
"AJ-107801","3"
"AJ-107802","3"
"AJ-107803","3"
"AJ-107804","4"
"AJ-107951","3"
"AJ-107952","3"
"AJ-107953","2"
"AJ-107954","3"
"AJ-109451","4"
"AJ-109452","3"
"AJ-109453","3"
"AJ-109454","4"
"AJ-109601","2"
"AJ-109602","3"
"AJ-109603","2"
"AJ-109604","2"
"AJ-7801","4"
"AJ-7803","3"
"AJ-7951","3"
"AJ-7952","3"
"AJ-9451","3"
"AJ-9452","2"
"AJ-9601","3"
"AJ-9602","2"
"AM-103601","4"
"AM-103602","4"
"AM-103603","3"
"AM-103604","4"
"AM-107051","4"
"AM-107052","4"
"AM-107053","4"
"AM-107054","4"
"AM-3601","3"
"AM-3602","2"
"AM-7051","3"
"AO-108101","4"
"AO-108102","4"
"AO-108103","4"
"AO-8103","2"
"AP-107201","4"
"AP-107203","2"
"AP-107204","4"
"AP-109151","4"
"AP-109152","3"
"AP-109153","3"
"AP-109154","3"
"AP-7201","3"
"AP-9151","2"
"AP-9152","2"
"AR-103451","4"
"AR-103452","3"
"AR-103453","3"
"AR-103454","3"
"AR-104051","3"
"AR-104052","3"
"AR-104053","2"
"AR-104054","3"
"AR-105101","4"
"AR-105102","4"
"AR-105103","4"
"AR-105104","4"
"AR-105401","3"
"AR-105402","2"
"AR-105403","2"
"AR-105404","4"
"AR-105701","4"
"AR-105702","3"
"AR-105703","3"
"AR-108252","4"
"AR-108253","4"
"AR-108254","4"
"AR-3451","2"
"AR-3452","4"
"AR-4051","2"
"AR-4052","3"
"AR-5101","2"
"AR-5102","4"
"AR-5401","3"
"AR-5402","2"
"AR-5701","3"
"AR-5702","3"
"AR-8251","3"
"AR-8252","3"
"AS-100451","3"
"AS-100452","4"
"AS-100453","2"
"AS-100454","3"
"AS-100901","4"
"AS-100902","4"
"AS-100903","3"
"AS-100904","4"
"AS-101351","4"
"AS-101352","2"
"AS-101353","2"
"AS-101354","2"
"AS-102251","4"
"AS-102252","3"
"AS-102253","3"
"AS-102254","4"
"AS-102401","4"
"AS-102402","3"
"AS-102403","4"
"AS-102404","4"
"AS-102851","4"
"AS-102852","3"
"AS-102853","3"
"AS-102854","2"
"AS-106301","2"
"AS-106302","3"
"AS-106304","4"
"AS-1352","3"
"AS-2251","2"
"AS-2253","3"
"AS-2402","2"
"AS-2851","3"
"AS-2852","3"
"AS-6301","3"
"AS-6302","2"
"AS-901","3"
"AT-104351","4"
"AT-104352","2"
"AT-104353","3"
"AT-104354","4"
"AT-107351","3"
"AT-107352","3"
"AT-107353","3"
"AT-107354","4"
"AT-4351","2"
"AT-4352","3"
"AT-7352","3"
"AW-108401","4"
"AW-108402","3"
"AW-108403","3"
"AW-108404","2"
"AW-109301","3"
"AW-109302","3"
"AW-109303","3"
"AW-109304","4"
"AW-8401","4"
"AW-9301","3"
"AW-9302","2"
"AY-105551","3"
"AY-105552","3"
"AY-105553","3"
"AY-105554","3"
"AY-5551","3"
"AY-5552","4"
"AZ-107501","2"
"AZ-107502","3"
"AZ-107503","3"
"AZ-107504","4"
"AZ-7501","3"
"AZ-7503","2"
"BB-109901","4"
"BB-109902","2"
"BB-109903","4"
"BB-109904","4"
"BB-115451","2"
"BB-115452","3"
"BB-115453","3"
"BB-115454","3"
"BB-15451","3"
"BB-9901","2"
"BB-9902","3"
"BC-111251","2"
"BC-111252","4"
"BC-111253","4"
"BC-111254","4"
"BC-11251","2"
"BC-11252","3"
"BD-113201","2"
"BD-113202","3"
"BD-113203","3"
"BD-113204","3"
"BD-115001","3"
"BD-115002","4"
"BD-115003","4"
"BD-115004","3"
"BD-115601","3"
"BD-115602","4"
"BD-115603","4"
"BD-115604","2"
"BD-116051","4"
"BD-116053","2"
"BD-116054","4"
"BD-116201","4"
"BD-116202","3"
"BD-116203","2"
"BD-116204","3"
"BD-116351","4"
"BD-116352","3"
"BD-116353","3"
"BD-116354","3"
"BD-117251","4"
"BD-117252","4"
"BD-117253","4"
"BD-117254","3"
"BD-117701","2"
"BD-117702","4"
"BD-117703","4"
"BD-117704","2"
"BD-13202","2"
"BD-15001","2"
"BD-15601","2"
"BD-15602","3"
"BD-16051","2"
"BD-16052","2"
"BD-16201","3"
"BD-16202","4"
"BD-16352","4"
"BD-17251","2"
"BD-17252","3"
"BD-17701","2"
"BD-17702","2"
"BE-113351","4"
"BE-113352","4"
"BE-113353","3"
"BE-113354","2"
"BE-114101","3"
"BE-114102","3"
"BE-114103","4"
"BE-114104","2"
"BE-114551","3"
"BE-114552","4"
"BE-114553","3"
"BE-114554","3"
"BE-13351","2"
"BE-13352","2"
"BE-14101","2"
"BE-14102","3"
"BF-10201","2"
"BF-10801","3"
"BF-10803","2"
"BF-109751","4"
"BF-109752","2"
"BF-109753","3"
"BF-109754","4"
"BF-110051","3"
"BF-110052","4"
"BF-110053","4"
"BF-110054","3"
"BF-110201","3"
"BF-110202","3"
"BF-110203","3"
"BF-110204","4"
"BF-110801","4"
"BF-110802","2"
"BF-110803","3"
"BF-110804","2"
"BF-111701","3"
"BF-111702","4"
"BF-111703","3"
"BF-111704","4"
"BF-112151","4"
"BF-112152","3"
"BF-112153","2"
"BF-112154","3"
"BF-112752","4"
"BF-112753","3"
"BF-112754","2"
"BF-11702","3"
"BF-12151","2"
"BF-12752","3"
"BF-9751","4"
"BF-9752","3"
"BG-110351","4"
"BG-110352","3"
"BG-110353","4"
"BG-110354","4"
"BG-116951","2"
"BG-116953","4"
"BG-116954","4"
"BG-117401","4"
"BG-117402","2"
"BG-117403","3"
"BG-117404","4"
"BG-16951","2"
"BH-117101","3"
"BH-117102","3"
"BH-117103","4"
"BH-117104","4"
"BH-17101","3"
"BH-17102","3"
"BK-112601","2"
"BK-112602","4"
"BK-112603","3"
"BK-112604","4"
"BK-12602","2"
"BM-111401","4"
"BM-111402","3"
"BM-111403","4"
"BM-111404","3"
"BM-11401","2"
"BM-11402","3"
"BM-115751","4"
"BM-115752","3"
"BM-115753","3"
"BM-115754","3"
"BM-116501","2"
"BM-116502","4"
"BM-116503","2"
"BM-116504","4"
"BM-117851","4"
"BM-117852","4"
"BM-117853","3"
"BM-117854","4"
"BM-15751","2"
"BM-15752","3"
"BM-16503","3"
"BM-17851","3"
"BM-17852","2"
"BN-114701","4"
"BN-114702","2"
"BN-114703","3"
"BN-114704","3"
"BN-115151","3"
"BN-115152","3"
"BN-115153","2"
"BN-115154","3"
"BN-14701","3"
"BN-14702","3"
"BN-15151","3"
"BN-15152","2"
"BO-113501","3"
"BO-113502","3"
"BO-113504","2"
"BO-114251","4"
"BO-114252","4"
"BO-114253","2"
"BO-114254","2"
"BO-13501","2"
"BO-13502","3"
"BO-14251","3"
"BO-14252","2"
"BP-10501","2"
"BP-10502","4"
"BP-10951","2"
"BP-10952","2"
"BP-110501","3"
"BP-110502","3"
"BP-110503","4"
"BP-110504","3"
"BP-110951","2"
"BP-110952","4"
"BP-110953","4"
"BP-110954","4"
"BP-111551","3"
"BP-111552","4"
"BP-111553","3"
"BP-111554","3"
"BP-111851","4"
"BP-111852","3"
"BP-111853","3"
"BP-111854","3"
"BP-112301","3"
"BP-112302","4"
"BP-112303","3"
"BP-112304","4"
"BP-112901","4"
"BP-112902","3"
"BP-112903","4"
"BP-112904","3"
"BP-11553","3"
"BP-11851","2"
"BP-11852","3"
"BP-12301","3"
"BP-12302","3"
"BP-12902","2"
"BS-113652","4"
"BS-113653","3"
"BS-113654","2"
"BS-113801","3"
"BS-113802","3"
"BS-113803","4"
"BS-113804","3"
"BS-115901","4"
"BS-115902","2"
"BS-115903","3"
"BS-115904","4"
"BS-116651","3"
"BS-116652","3"
"BS-116653","4"
"BS-116654","3"
"BS-117551","3"
"BS-117552","4"
"BS-117553","3"
"BS-117554","4"
"BS-118001","3"
"BS-118002","3"
"BS-118003","3"
"BS-118004","2"
"BS-13651","2"
"BS-13801","2"
"BS-13802","2"
"BS-15901","2"
"BS-15902","2"
"BS-16652","3"
"BS-17551","3"
"BS-18001","4"
"BS-18002","3"
"BT-113051","2"
"BT-113052","3"
"BT-113053","3"
"BT-113054","3"
"BT-113951","3"
"BT-113952","4"
"BT-113953","2"
"BT-113954","4"
"BT-114401","3"
"BT-114402","4"
"BT-114403","3"
"BT-114404","2"
"BT-114851","2"
"BT-114852","4"
"BT-114853","3"
"BT-114854","2"
"BT-115301","3"
"BT-115302","4"
"BT-115303","2"
"BT-115304","3"
"BT-116801","4"
"BT-116802","2"
"BT-116803","2"
"BT-116804","4"
"BT-13051","3"
"BT-13052","3"
"BT-13951","2"
"BT-14401","2"
"BT-14402","3"
"BT-14851","3"
"BT-14852","2"
"BT-15301","2"
"BT-15303","2"
"BT-16801","2"
"BT-16802","2"
"BV-112451","3"
"BV-112452","4"
"BV-112453","2"
"BV-112454","3"
"BV-12451","2"
"BW-10651","3"
"BW-110651","4"
"BW-110652","3"
"BW-110653","3"
"BW-110654","3"
"BW-11101","3"
"BW-11103","3"
"BW-111101","4"
"BW-111102","4"
"BW-111103","3"
"BW-111104","3"
"BW-112001","4"
"BW-112002","3"
"BW-112003","4"
"BW-112004","3"
"BW-12001","2"
"CA-119651","4"
"CA-119652","4"
"CA-119653","2"
"CA-119654","4"
"CA-120551","3"
"CA-120552","3"
"CA-120553","3"
"CA-120554","2"
"CA-122651","4"
"CA-122652","4"
"CA-122653","4"
"CA-122654","4"
"CA-123101","3"
"CA-123102","3"
"CA-123103","3"
"CA-123104","3"
"CA-127751","3"
"CA-127752","3"
"CA-127753","3"
"CA-127754","4"
"CA-19651","2"
"CA-19652","3"
"CA-20552","2"
"CA-22652","4"
"CA-23101","3"
"CA-23102","2"
"CA-27751","2"
"CA-27752","2"
"CB-120251","3"
"CB-120252","4"
"CB-120253","3"
"CB-120254","4"
"CB-124152","3"
"CB-124153","4"
"CB-124154","3"
"CB-125351","3"
"CB-125352","4"
"CB-125353","4"
"CB-125354","3"
"CB-20251","2"
"CB-24152","2"
"CC-121001","2"
"CC-121002","4"
"CC-121003","3"
"CC-121004","3"
"CC-121451","4"
"CC-121452","3"
"CC-121453","2"
"CC-121454","4"
"CC-122201","2"
"CC-122202","3"
"CC-122203","3"
"CC-122204","4"
"CC-123701","4"
"CC-123702","4"
"CC-123703","3"
"CC-123704","2"
"CC-124301","4"
"CC-124303","4"
"CC-124304","3"
"CC-124751","4"
"CC-124752","2"
"CC-124753","3"
"CC-124754","3"
"CC-125501","4"
"CC-125502","4"
"CC-125503","4"
"CC-126101","4"
"CC-126102","4"
"CC-126103","3"
"CC-126104","4"
"CC-126701","3"
"CC-126702","3"
"CC-126703","3"
"CC-126704","4"
"CC-126851","3"
"CC-126852","4"
"CC-126854","2"
"CC-21001","2"
"CC-21002","3"
"CC-21451","2"
"CC-21452","2"
"CC-22201","3"
"CC-22202","3"
"CC-22203","2"
"CC-23701","2"
"CC-23702","4"
"CC-24751","3"
"CC-24753","2"
"CC-25501","2"
"CC-26101","2"
"CC-26701","2"
"CC-26702","3"
"CC-26851","3"
"CD-119201","2"
"CD-119202","4"
"CD-119203","4"
"CD-119204","4"
"CD-119801","4"
"CD-119802","4"
"CD-119803","3"
"CD-119804","2"
"CD-122801","3"
"CD-122802","3"
"CD-122803","4"
"CD-127901","2"
"CD-127902","4"
"CD-127903","3"
"CD-127904","3"
"CD-19201","2"
"CD-19202","2"
"CD-19801","2"
"CD-19802","2"
"CD-19803","2"
"CD-22801","2"
"CD-22802","3"
"CD-27901","3"
"CD-27902","2"
"CG-120401","3"
"CG-120402","2"
"CG-120403","3"
"CG-120404","3"
"CG-125201","3"
"CG-125202","4"
"CG-125203","2"
"CG-125204","3"
"CG-20402","3"
"CG-25201","2"
"CG-25202","2"
"CH-120701","3"
"CH-120702","4"
"CH-120703","3"
"CH-120704","2"
"CH-20701","2"
"CH-20702","3"
"CJ-118751","3"
"CJ-118752","3"
"CJ-118753","3"
"CJ-120101","3"
"CJ-120102","3"
"CJ-120103","3"
"CJ-120104","2"
"CJ-18751","2"
"CJ-18752","3"
"CJ-20101","2"
"CK-122051","4"
"CK-122052","4"
"CK-122053","3"
"CK-122054","4"
"CK-123251","3"
"CK-123252","3"
"CK-123253","3"
"CK-123254","3"
"CK-125951","3"
"CK-125952","4"
"CK-125953","3"
"CK-125954","4"
"CK-127601","2"
"CK-127602","2"
"CK-127603","4"
"CK-127604","4"
"CK-22052","3"
"CK-23251","2"
"CK-23252","3"
"CK-25951","2"
"CK-27601","3"
"CK-27602","2"
"CL-118901","4"
"CL-118902","3"
"CL-118903","4"
"CL-118904","3"
"CL-125651","2"
"CL-125652","4"
"CL-125653","4"
"CL-125654","4"
"CL-127001","4"
"CL-127002","4"
"CL-127003","3"
"CL-127004","2"
"CL-18901","4"
"CL-18903","2"
"CL-25651","3"
"CL-27001","2"
"CL-27002","2"
"CM-118151","3"
"CM-118152","4"
"CM-118153","3"
"CM-118154","3"
"CM-118301","3"
"CM-118302","4"
"CM-118303","4"
"CM-119351","3"
"CM-119352","2"
"CM-119354","2"
"CM-121151","3"
"CM-121152","3"
"CM-121153","2"
"CM-121154","2"
"CM-121601","4"
"CM-121602","2"
"CM-121603","3"
"CM-121604","2"
"CM-121901","3"
"CM-121902","4"
"CM-121903","3"
"CM-121904","2"
"CM-122351","4"
"CM-122352","3"
"CM-123851","4"
"CM-123852","2"
"CM-123853","3"
"CM-123854","2"
"CM-124451","4"
"CM-124452","3"
"CM-124453","4"
"CM-124454","2"
"CM-126551","2"
"CM-126552","2"
"CM-126553","4"
"CM-126554","3"
"CM-127151","3"
"CM-127152","2"
"CM-127153","3"
"CM-127154","2"
"CM-18151","3"
"CM-18301","3"
"CM-18302","4"
"CM-19351","3"
"CM-19352","3"
"CM-21601","3"
"CM-22352","3"
"CM-23851","2"
"CM-24452","2"
"CM-26551","3"
"CM-26552","4"
"CM-27151","2"
"CM-27152","3"
"Co-126401","4"
"Co-126402","4"
"Co-126403","4"
"Co-126404","3"
"Co-26401","2"
"Co-26402","2"
"CP-120851","2"
"CP-120852","3"
"CP-120853","3"
"CP-120854","4"
"CP-123401","3"
"CP-123402","3"
"CP-123403","4"
"CP-123404","4"
"CP-20851","3"
"CP-20853","3"
"CP-23401","3"
"CR-125801","4"
"CR-125802","2"
"CR-125804","2"
"CR-126251","4"
"CR-126252","3"
"CR-126253","3"
"CR-126254","2"
"CR-127301","4"
"CR-127302","2"
"CR-127303","3"
"CR-127304","3"
"CR-128201","3"
"CR-128202","3"
"CR-128203","4"
"CR-128204","2"
"CR-25802","2"
"CR-26251","4"
"CR-26253","3"
"CR-27301","2"
"CR-27302","4"
"CR-28201","3"
"CR-28202","2"
"CS-118451","4"
"CS-118452","3"
"CS-118453","3"
"CS-118454","3"
"CS-118601","2"
"CS-118602","4"
"CS-118603","3"
"CS-118604","3"
"CS-119501","4"
"CS-119502","3"
"CS-119503","2"
"CS-119504","4"
"CS-121301","4"
"CS-121302","3"
"CS-121303","2"
"CS-121304","3"
"CS-121751","4"
"CS-121752","3"
"CS-121753","2"
"CS-121754","3"
"CS-122501","4"
"CS-122502","4"
"CS-122503","3"
"CS-122504","4"
"CS-123551","2"
"CS-123552","2"
"CS-123553","4"
"CS-123554","4"
"CS-124001","4"
"CS-124002","2"
"CS-124003","3"
"CS-124004","4"
"CS-124601","3"
"CS-124602","3"
"CS-124603","4"
"CS-124901","3"
"CS-124902","3"
"CS-124903","4"
"CS-124904","2"
"CS-125051","2"
"CS-125053","3"
"CS-125054","4"
"CS-18451","2"
"CS-18452","3"
"CS-18601","3"
"CS-18602","2"
"CS-19501","2"
"CS-19502","2"
"CS-21301","2"
"CS-21751","2"
"CS-21752","3"
"CS-22502","2"
"CS-23551","3"
"CS-23552","3"
"CS-24001","2"
"CS-24601","2"
"CS-24602","4"
"CS-24902","2"
"CS-25051","3"
"CS-25052","2"
"CT-119951","4"
"CT-119952","4"
"CT-119953","3"
"CT-119954","4"
"CT-19951","2"
"CV-122951","3"
"CV-122952","2"
"CV-122953","4"
"CV-122954","3"
"CV-128051","3"
"CV-128052","2"
"CV-128054","2"
"CV-22951","3"
"CV-22952","3"
"CV-28051","2"
"CV-28052","3"
"CW-119051","4"
"CW-119052","3"
"CW-119053","4"
"CW-119054","4"
"CW-19051","2"
"CY-127451","3"
"CY-127452","3"
"CY-127453","3"
"CY-127454","4"
"CY-27451","3"
"DA-134501","3"
"DA-134502","4"
"DA-134503","4"
"DA-134504","2"
"DA-34501","2"
"DA-34502","2"
"DB-129101","3"
"DB-129102","4"
"DB-129103","4"
"DB-129104","3"
"DB-129702","2"
"DB-129703","4"
"DB-130601","3"
"DB-130602","3"
"DB-130603","2"
"DB-130604","3"
"DB-131201","2"
"DB-131202","3"
"DB-131204","2"
"DB-132101","3"
"DB-132102","2"
"DB-132103","3"
"DB-132104","3"
"DB-132701","4"
"DB-132702","3"
"DB-132704","4"
"DB-133601","3"
"DB-133602","3"
"DB-133603","3"
"DB-133604","4"
"DB-134051","4"
"DB-134052","3"
"DB-134053","3"
"DB-134054","2"
"DB-135551","4"
"DB-135553","2"
"DB-135554","2"
"DB-136151","3"
"DB-136152","3"
"DB-136153","4"
"DB-136154","4"
"DB-136601","2"
"DB-136602","3"
"DB-136603","3"
"DB-136604","3"
"DB-29101","2"
"DB-29103","2"
"DB-29702","3"
"DB-30601","3"
"DB-30602","3"
"DB-31201","2"
"DB-31202","2"
"DB-32101","3"
"DB-33601","2"
"DB-34051","2"
"DB-35552","2"
"DB-36151","2"
"DC-128501","3"
"DC-128502","2"
"DC-128503","4"
"DC-128504","4"
"DC-132851","2"
"DC-132852","3"
"DC-132853","4"
"DC-132854","4"
"DC-28501","2"
"DC-28502","2"
"DC-28503","2"
"DD-135702","4"
"DD-135703","4"
"DD-135704","3"
"DD-35701","3"
"DE-132551","3"
"DE-132552","3"
"DE-132553","4"
"DE-132554","3"
"DE-32551","2"
"DE-32552","3"
"DF-131351","4"
"DF-131352","3"
"DF-131353","2"
"DF-131354","3"
"DF-31352","2"
"DG-133001","4"
"DG-133002","3"
"DG-133003","4"
"DG-133004","4"
"DG-33001","2"
"DH-130751","2"
"DH-130752","4"
"DH-130753","4"
"DH-130754","4"
"DH-136751","2"
"DH-136752","2"
"DH-136753","3"
"DH-136754","2"
"DH-30751","4"
"DH-30752","3"
"DH-36751","4"
"DH-36753","3"
"DJ-134201","4"
"DJ-134202","4"
"DJ-134203","2"
"DJ-134204","3"
"DJ-135101","2"
"DJ-135102","4"
"DJ-135103","4"
"DJ-135104","3"
"DJ-136301","4"
"DJ-136302","3"
"DJ-136303","2"
"DJ-136304","3"
"DJ-34201","2"
"DJ-35101","3"
"DJ-35103","2"
"DJ-36301","2"
"DJ-36302","2"
"DK-128351","3"
"DK-128352","2"
"DK-128353","4"
"DK-128354","4"
"DK-128951","2"
"DK-128952","4"
"DK-128953","4"
"DK-128954","2"
"DK-129851","4"
"DK-129852","4"
"DK-129853","4"
"DK-129854","3"
"DK-130901","4"
"DK-130902","2"
"DK-130903","3"
"DK-130904","3"
"DK-131501","3"
"DK-131502","3"
"DK-131503","3"
"DK-131504","2"
"DK-132251","4"
"DK-132252","3"
"DK-132253","4"
"DK-132254","4"
"DK-133751","2"
"DK-133752","3"
"DK-133753","4"
"DK-133754","4"
"DK-28351","2"
"DK-28352","4"
"DK-28951","2"
"DK-28952","3"
"DK-31501","3"
"DK-31502","4"
"DK-32251","3"
"DK-32252","2"
"DK-33751","3"
"DK-33753","3"
"DL-128651","4"
"DL-128652","3"
"DL-128653","4"
"DL-128654","4"
"DL-129251","4"
"DL-129253","2"
"DL-129254","3"
"DL-133151","3"
"DL-133152","4"
"DL-133153","4"
"DL-133154","3"
"DL-133301","4"
"DL-133302","4"
"DL-133303","4"
"DL-133304","4"
"DL-134951","3"
"DL-134952","3"
"DL-134953","2"
"DL-134954","3"
"Dl-136001","4"
"Dl-136002","4"
"Dl-136004","3"
"DL-28651","2"
"DL-28653","3"
"DL-29251","2"
"DL-29252","3"
"DL-33151","2"
"DL-33152","3"
"DL-34951","2"
"DL-34952","2"
"Dl-36001","4"
"Dl-36002","3"
"DM-129551","4"
"DM-129552","4"
"DM-129553","3"
"DM-129554","4"
"DM-130151","4"
"DM-130152","4"
"DM-130153","3"
"DM-130154","4"
"DM-133451","2"
"DM-133452","4"
"DM-133453","3"
"DM-133454","4"
"DM-135251","3"
"DM-135252","3"
"DM-135253","2"
"DM-135254","3"
"DM-29551","3"
"DM-29553","4"
"DM-30152","2"
"DM-33451","2"
"DM-33452","2"
"DM-35252","2"
"DM-35253","3"
"DN-136901","3"
"DN-136902","2"
"DN-136903","3"
"DN-136904","3"
"DN-36901","2"
"DO-134351","3"
"DO-134352","3"
"DO-134353","3"
"DO-134354","4"
"DO-136451","3"
"DO-136452","3"
"DO-136453","3"
"DO-136454","2"
"DO-34351","3"
"DO-34352","3"
"DP-130001","3"
"DP-130002","4"
"DP-130003","3"
"DP-130004","4"
"DP-131051","3"
"DP-131052","2"
"DP-131053","4"
"DP-131054","3"
"DP-131651","4"
"DP-131652","4"
"DP-131653","3"
"DP-131654","2"
"Dp-132401","4"
"Dp-132402","2"
"Dp-132403","4"
"Dp-132404","4"
"DP-133901","3"
"DP-133902","3"
"DP-133903","3"
"DP-133904","4"
"DP-30001","3"
"DP-30003","3"
"DP-31051","3"
"DP-31052","2"
"DP-31651","3"
"Dp-32401","2"
"DP-33903","2"
"DR-128801","4"
"DR-128802","4"
"DR-128803","4"
"DR-128804","3"
"DR-129401","4"
"DR-129402","2"
"DR-129403","3"
"DR-129404","4"
"DR-28801","3"
"DR-29401","3"
"DR-29402","2"
"DS-130301","3"
"DS-130302","4"
"DS-130303","4"
"DS-130304","2"
"DS-131801","2"
"DS-131802","3"
"DS-131803","4"
"DS-131804","4"
"DS-30301","2"
"DS-30302","2"
"DV-130451","3"
"DV-130452","3"
"DV-130453","3"
"DV-130454","2"
"DV-134651","3"
"DV-134652","2"
"DV-134653","3"
"DV-134654","4"
"DV-30451","3"
"DV-30452","4"
"DV-34652","3"
"DW-131951","4"
"DW-131953","2"
"DW-131954","3"
"DW-134801","3"
"DW-134802","3"
"DW-134803","4"
"DW-134804","3"
"DW-135401","2"
"DW-135402","4"
"DW-135403","3"
"DW-135404","2"
"DW-135851","4"
"DW-135852","3"
"DW-135853","4"
"DW-135854","4"
"DW-31952","2"
"DW-34801","2"
"DW-34803","3"
"EA-140351","3"
"EA-140353","3"
"EA-140354","4"
"EA-40351","2"
"EB-137051","3"
"EB-137052","2"
"EB-137053","4"
"EB-137054","4"
"EB-137501","2"
"EB-137502","3"
"EB-137503","2"
"EB-137504","3"
"EB-138401","2"
"EB-138402","4"
"EB-138403","4"
"EB-138404","4"
"EB-138701","3"
"EB-138702","3"
"EB-138704","4"
"EB-139301","4"
"EB-139302","3"
"EB-139303","2"
"EB-139304","3"
"EB-139751","3"
"EB-139752","3"
"EB-139753","4"
"EB-139754","2"
"EB-141101","4"
"EB-141102","4"
"EB-141103","2"
"EB-141104","3"
"EB-141701","3"
"EB-141703","4"
"EB-141704","4"
"EB-37051","2"
"EB-37502","3"
"EB-38403","3"
"EB-38701","2"
"EB-38702","2"
"EB-39301","2"
"EB-39302","3"
"EB-39751","2"
"EB-39752","3"
"EB-41101","3"
"EB-41102","3"
"EB-41701","3"
"EB-41702","2"
"EC-140501","4"
"EC-140502","3"
"EC-140503","2"
"EC-140504","3"
"EC-40501","2"
"EC-40502","2"
"ED-138851","4"
"ED-138852","4"
"ED-138853","4"
"ED-138854","4"
"ED-38851","2"
"ED-38853","2"
"EG-139001","2"
"EG-139002","3"
"EG-139003","4"
"EG-139004","3"
"EG-39001","4"
"EG-39002","3"
"EH-137651","3"
"EH-137652","3"
"EH-137653","2"
"EH-137654","4"
"EH-139451","3"
"EH-139452","3"
"EH-139453","4"
"EH-139454","4"
"EH-139901","4"
"EH-139902","3"
"EH-139903","3"
"EH-139904","3"
