"customer_id","total_revenue"
"AB-100151","4004"
"PB-192101","3994"
"AA-104802","3987"
"SC-200952","3987"
"EG-139002","3985"
"SR-207404","3965"
"TB-215204","3963"
"KB-165851","3937"
"AF-108851","3935"
"NL-183101","3930"
"EL-137351","3927"
"EH-141851","3921"
"SW-207551","3919"
"BG-117401","3919"
"RA-199153","3914"
"SB-201852","3904"
"JJ-157602","3895"
"ZC-219102","3895"
"MC-176351","3886"
"MS-177701","3882"
"AB-100603","3876"
"CA-119651","3845"
"KD-162701","3839"
"HR-148304","3828"
"SW-202451","3824"
"CP-120851","3819"
"EB-138404","3807"
"LR-169152","3802"
"LH-171551","3793"
"BG-110352","3791"
"HD-147851","3789"
"TS-216102","3787"
"CB-124152","3784"
"LR-169151","3782"
"DN-136903","3782"
"DL-133301","3772"
"AA-106451","3766"
"SW-203501","3765"
"BD-115001","3761"
"AR-108252","3760"
"BV-112452","3760"
"BP-111851","3753"
"AA-103152","3750"
"PF-191652","3749"
"DM-133451","3747"
"KM-163752","3737"
"DK-129853","3734"
"BB-109901","3725"
"NS-186402","3723"
"TM-214901","3709"
"CC-121452","3707"
"ML-177551","3707"
"RD-196601","3701"
"FO-143052","3700"
"SS-204102","3699"
"EM-142001","3684"
"DL-134951","3660"
"LS-172453","3650"
"GD-145902","3632"
"KT-164653","3608"
"RA-199452","3600"
"DM-33452","3597"
"MG-176802","3577"
"PS-190454","3575"
"SC-203054","3567"
"MS-78302","3563"
"KN-67052","3561"
"ED-138851","3544"
"BM-117852","3541"
"DP-130002","3539"
"DJ-134201","3537"
"PS-187601","3533"
"AH-105851","3530"
"RA-199453","3526"
"AJ-107804","3525"
"AB-102553","3525"
"YS-218801","3515"
"JR-156702","3510"
"SC-206952","3506"
"EH-139901","3496"
"PW-192404","3478"
"JH-161802","3478"
"VW-217751","3478"
"DB-136601","3477"
"BW-111104","3474"
"EM-138101","3473"
"PS-189703","3458"
"VG-217903","3455"
"MS-173651","3447"
"KN-163902","3441"
"VT-217001","3441"
"MG-178752","3437"
"MO-179502","3433"
"RD-194802","3432"
"RP-193901","3429"
"TB-214001","3425"
"JR-157001","3424"
"AJ-109453","3421"
"JM-156552","3421"
"ES-140804","3420"
"RB-194654","3417"
"BE-114101","3415"
"JC-157751","3414"
"DM-133454","3413"
"DC-132853","3398"
"TT-214601","3396"
"BS-113801","3396"
"CB-120251","3393"
"AH-100301","3390"
"KL-166454","3377"
"CC-124303","3377"
"EH-141251","3377"
"CC-123701","3373"
"VG-218051","3373"
"CK-122051","3371"
"TZ-214453","3370"
"CM-119351","3366"
"Dl-136001","3366"
"ZC-219104","3363"
"TW-210251","3359"
"DJ-35103","3358"
"RR-193151","3350"
"KA-165252","3350"
"DB-129102","3350"
"AT-107354","3344"
"DJ-134203","3343"
"LD-170051","3328"
"MY-173802","3326"
"DS-130303","3325"
"ED-138854","3324"
"KE-164203","3318"
"BH-117103","3308"
"SB-202901","3302"
"DW-135401","3299"
"MP-179652","3295"
"AB-106001","3292"
"JR-156701","3289"
"AH-100302","3283"
"NR-185501","3271"
"JL-151751","3270"
"LW-169902","3268"
"YS-218804","3267"
"DL-134954","3265"
"SC-208452","3251"
"LP-170951","3249"
"JL-151302","3244"
"CT-119952","3236"
"KW-165701","3236"
"BO-114253","3235"
"CR-125801","3234"
"SA-208304","3231"
"CA-120552","3230"
"PO-191801","3215"
"KT-164804","3206"
"AH-100303","3196"
"HR-147701","3195"
"JH-61803","3194"
"CA-119654","3188"
"BM-115751","3188"
"DV-130451","3188"
"JK-157304","3186"
"MZ-73352","3185"
"PA-90601","3181"
"HM-148601","3175"
"RE-194501","3174"
"JM-152502","3174"
"VF-217151","3171"
"MG-181451","3170"
"SR-204254","3170"
"KB-165852","3169"
"SR-204252","3167"
"AG-103301","3160"
"NM-184451","3160"
"TP-211301","3160"
"JF-154152","3157"
"CC-126701","3155"
"SF-202004","3150"
"JW-160752","3150"
"JF-155651","3150"
"TP-211302","3148"
"AJ-109452","3148"
"KH-166902","3147"
"DK-131501","3146"
"GK-146204","3143"
"DP-130001","3143"
"RS-194202","3131"
"WB-218503","3125"
"TB-212803","3120"
"SW-202452","3120"
"LB-167951","3119"
"GT-147102","3111"
"CL-127001","3102"
"DB-132704","3101"
"LT-167652","3100"
"RP-93901","3097"
"SC-203801","3095"
"AS-102852","3093"
"AG-106754","3092"
"CM-123851","3090"
"JM-155803","3087"
"SC-206801","3085"
"AS-102854","3082"
"FP-143201","3074"
"AH-102102","3072"
"AB-2551","3069"
"AO-108102","3068"
"MS-177102","3068"
"MK-179051","3067"
"EH-141852","3059"
"NP-187004","3057"
"MJ-177401","3055"
"RD-199301","3053"
"BN-114703","3052"
"SC-203804","3051"
"Dp-132404","3047"
"MG-178751","3045"
"DM-135252","3044"
"HD-147852","3041"
"BD-116051","3038"
"TS-215051","3032"
"FH-143502","3031"
"DO-136451","3027"
"LC-169601","3018"
"MV-81901","3016"
"VM-216851","3015"
"TZ-215802","3011"
"DG-133001","3009"
"KC-165401","3007"
"RW-196901","3003"
"DK-132254","2997"
"CM-123853","2994"
"RD-98101","2992"
"SC-200504","2989"
"SZ-200353","2985"
"XP-218653","2982"
"MB-173052","2978"
"HM-149801","2976"
"JG-158052","2974"
"CJ-118751","2974"
"FM-142151","2973"
"TS-216101","2973"
"AS-100454","2970"
"MR-175451","2968"
"CD-127902","2965"
"MS-175302","2964"
"BG-110351","2960"
"CC-121003","2951"
"AT-104353","2949"
"MK-179053","2939"
"JF-151901","2936"
"JW-159551","2927"
"AP-109151","2925"
"JL-152352","2924"
"TB-216251","2919"
"TG-216403","2917"
"BP-12301","2915"
"PV-189853","2912"
"SN-207101","2909"
"ZD-219252","2907"
"BT-113951","2905"
"SG-204701","2902"
"AB-101652","2898"
"PH-187901","2894"
"FC-142451","2894"
"TH-215503","2887"
"DB-130602","2887"
"MC-172753","2883"
"LH-167503","2882"
"SR-207401","2875"
"JE-154751","2873"
"JD-161503","2870"
"SE-201102","2863"
"TS-213701","2862"
"EM-138253","2860"
"LC-168851","2855"
"GD-145901","2853"
"TH-215504","2849"
"SM-203202","2841"
"JH-161803","2840"
"AS-2852","2838"
"VP-217604","2835"
"RH-94951","2833"
"JF-54151","2831"
"BF-110801","2825"
"BT-114401","2824"
"MC-72752","2818"
"PO-191804","2815"
"CY-127454","2812"
"VD-216704","2811"
"DR-129402","2803"
"LC-169604","2800"
"TB-212502","2799"
"JA-159701","2796"
"LC-168854","2795"
"CM-121603","2792"
"BS-117551","2791"
"RD-196604","2787"
"GP-147402","2787"
"TB-215201","2784"
"TS-213702","2783"
"DG-33001","2781"
"FH-143651","2780"
"AH-101951","2774"
"BG-117403","2770"
"MH-177852","2769"
"HK-148902","2766"
"SS-205152","2761"
"AB-100602","2760"
"CC-124301","2755"
"RH-195551","2753"
"AM-103602","2751"
"SG-206053","2741"
"MC-176051","2741"
"LH-169001","2739"
"SF-202002","2737"
"AH-106904","2735"
"SC-208001","2734"
"KT-164654","2731"
"Co-126401","2726"
"CC-26851","2724"
"AS-100902","2720"
"JK-160904","2719"
"JF-51902","2718"
"TB-112502","2716"
"JP-155203","2716"
"GH-144252","2715"
"SP-206202","2710"
"MC-175751","2706"
"CM-18301","2705"
"JD-160602","2701"
"BF-112753","2698"
"JG-158051","2698"
"MG-182052","2694"
"PV-89851","2693"
"TN-210404","2692"
"CM-126554","2691"
"TS-215052","2688"
"QJ-192552","2683"
"CD-119201","2682"
"TB-211753","2680"
"KD-164951","2677"
"JD-157901","2675"
"AG-105252","2670"
"BD-116351","2666"
"MM-182802","2666"
"EP-139154","2665"
"EC-140501","2664"
"VF-217152","2663"
"SM-103201","2663"
"GK-146203","2662"
"CB-120254","2661"
"GM-144404","2661"
"EM-139602","2660"
"BW-112003","2658"
"IL-151003","2657"
"JK-161204","2656"
"FM-142901","2651"
"NF-183854","2650"
"SJ-201252","2649"
"PV-189854","2648"
"SW-204554","2647"
"EB-138704","2646"
"RD-199003","2645"
"EH-41252","2643"
"BD-117253","2632"
"TR-213251","2631"
"EB-137053","2630"
"GD-145903","2627"
"RD-199001","2620"
"EB-137504","2618"
"JC-61052","2617"
"GA-145151","2617"
"SL-201552","2617"
"BN-114702","2613"
"AI-108554","2613"
"JM-158651","2612"
"BP-112302","2611"
"AG-107653","2610"
"CS-119501","2610"
"CS-124903","2609"
"CA-122651","2607"
"BE-113351","2606"
"AM-103601","2606"
"FW-143952","2605"
"HM-148603","2600"
"LO-171701","2597"
"RO-197804","2595"
"NG-183553","2592"
"AW-109302","2591"
"JD-60601","2590"
"MF-176652","2588"
"ND-184604","2587"
"MM-180552","2584"
"CS-119502","2578"
"MH-180252","2575"
"GA-145154","2574"
"JO-151452","2566"
"LH-170203","2563"
"ES-140801","2563"
"CV-122951","2563"
"PB-191503","2555"
"RM-193751","2552"
"NF-185951","2552"
"CA-119652","2551"
"PS-189701","2551"
"NM-185201","2548"
"LH-169003","2547"
"RB-197954","2545"
"BF-112752","2545"
"RH-194953","2541"
"DP-131053","2538"
"SL-201553","2535"
"EB-139301","2533"
"RA-92853","2533"
"RL-196154","2531"
"HZ-149501","2529"
"HZ-49501","2525"
"MP-181754","2522"
"AH-2101","2521"
"TM-210102","2520"
"MT-180702","2519"
"BD-117251","2519"
"OT-187301","2519"
"MS-178302","2518"
"AF-108852","2512"
"CS-124004","2510"
"AG-109002","2509"
"LA-67802","2507"
"GK-146202","2506"
"TB-215953","2506"
"GH-144103","2505"
"SM-209051","2504"
"LW-169904","2503"
"TS-216552","2502"
"DP-131652","2498"
"CS-124901","2491"
"MY-182954","2491"
"LP-170801","2488"
"CM-118153","2488"
"PR-188802","2485"
"CC-122204","2485"
"PG-188201","2485"
"VP-217601","2482"
"EM-141403","2480"
"SC-200201","2478"
"RS-197652","2476"
"CS-122502","2474"
"DB-135554","2474"
"DF-131352","2469"
"CM-121604","2462"
"FO-143054","2461"
"DB-130604","2458"
"JL-152353","2457"
"DH-136752","2456"
"SV-203651","2455"
"MC-181002","2452"
"TC-215353","2452"
"ME-173201","2452"
"CC-124751","2450"
"SV-203654","2449"
"DB-131204","2447"
"MG-176504","2446"
"TH-212353","2445"
"RL-196153","2444"
"DM-133452","2439"
"RB-193303","2437"
"RM-193752","2435"
"KM-167201","2433"
"PG-188951","2431"
"PT-190903","2430"
"BF-112152","2427"
"RF-197351","2427"
"PS-189702","2423"
"BD-115002","2422"
"MG-182053","2421"
"SE-201103","2419"
"TT-210701","2419"
"BM-111403","2418"
"DV-130453","2415"
"SC-205753","2415"
"FH-43652","2412"
"DJ-35101","2406"
"DS-131801","2406"
"GM-146801","2403"
"JH-159852","2399"
"SD-204852","2396"
"DL-129253","2396"
"DM-130152","2385"
"LC-168701","2385"
"EB-137054","2378"
"RK-193001","2374"
"AB-100604","2374"
"XP-218651","2372"
"YC-218951","2372"
"DR-128804","2370"
"MH-176202","2368"
"PB-188051","2365"
"RM-197502","2363"
"BT-14852","2363"
"GH-144852","2360"
"AB-106002","2359"
"SO-203352","2358"
"YC-218954","2355"
"HG-149654","2355"
"DE-32552","2352"
"AY-105552","2351"
"SS-205903","2348"
"SS-205902","2347"
"BM-111404","2346"
"CS-118602","2343"
"PF-192253","2343"
"MP-181752","2342"
"PO-188504","2341"
"HW-149351","2339"
"SC-206953","2339"
"IM-150702","2337"
"PB-191051","2337"
"HR-147702","2337"
"NC-184152","2335"
"DJ-135102","2332"
"KD-162702","2331"
"SM-209504","2328"
"HA-149051","2327"
"CB-125352","2327"
"AG-105253","2325"
"BC-111252","2325"
"MC-181001","2324"
"RD-196602","2323"
"FH-143654","2323"
"RS-197654","2321"
"JP-161351","2321"
"BT-114403","2316"
"ZC-219101","2316"
"MC-178454","2316"
"CJ-120104","2315"
"HM-148604","2309"
"GM-146802","2308"
"TH-215501","2306"
"SC-207701","2304"
"TG-116403","2300"
"PO-191951","2294"
"JE-157451","2291"
"JD-157903","2290"
"KD-162703","2287"
"RA-198854","2286"
"RB-197953","2286"
"DW-134804","2285"
"AS-100903","2284"
"DJ-136302","2284"
"LW-172151","2284"
"SC-200951","2283"
"DC-128504","2279"
"BG-110354","2279"
"SR-207402","2279"
"EH-141254","2277"
"AH-100753","2276"
"JK-153251","2274"
"AR-103451","2273"
"LC-171402","2272"
"JE-157452","2271"
"EM-138251","2271"
"CY-127451","2270"
"MC-175753","2269"
"JS-158804","2267"
"TP-211304","2266"
"KN-164501","2263"
"JK-156403","2262"
"BE-114104","2262"
"Dp-132401","2261"
"ME-173202","2257"
"MB-180853","2256"
"JH-158201","2253"
"JA-159702","2253"
"MO-78002","2250"
"RB-195702","2249"
"CC-24751","2248"
"SE-201104","2247"
"RW-196304","2242"
"DL-133302","2240"
"BD-117702","2240"
"TZ-214451","2239"
"EH-140053","2237"
"CA-122654","2235"
"DB-129103","2234"
"JH-159851","2232"
"TS-212051","2232"
"AM-103603","2230"
"LC-169301","2228"
"SC-207254","2227"
"JK-152053","2227"
"CK-125952","2226"
"TG-216401","2225"
"SM-200052","2224"
"RD-194804","2223"
"FP-143204","2223"
"RP-192701","2223"
"RS-198703","2222"
"JL-158353","2222"
"BH-117101","2220"
"NP-183253","2217"
"BF-111704","2209"
"MD-173504","2209"
"LL-168402","2209"
"DH-130753","2208"
"EG-139001","2206"
"LC-170502","2206"
"KL-165554","2194"
"DV-30452","2189"
"LR-169153","2188"
"HA-149052","2187"
"AA-3152","2180"
"EB-139302","2180"
"VS-218201","2180"
"AH-106901","2177"
"EA-140354","2176"
"RP-198551","2176"
"TC-209803","2175"
"JF-154902","2175"
"TP-214151","2170"
"AB-101503","2170"
"BP-112903","2168"
"CA-127754","2168"
"AC-106151","2167"
"DL-128652","2167"
"CC-124753","2157"
"AG-104952","2157"
"PN-187752","2156"
"JD-158953","2153"
"JH-161801","2153"
"MG-181454","2151"
"CK-123254","2150"
"JH-159853","2149"
"PK-190751","2147"
"BD-116201","2144"
"FC-143354","2143"
"TT-212201","2141"
"LC-171401","2140"
"FC-142454","2140"
"JG-153101","2139"
"JK-156253","2132"
"DD-135702","2131"
"KH-166901","2129"
"MF-182501","2129"
"CH-120701","2129"
"IM-150704","2127"
"PF-192251","2126"
"PJ-190152","2124"
"JD-157904","2123"
"RD-99301","2117"
"PO-188503","2113"
"LC-169602","2111"
"DL-129254","2111"
"RB-196451","2110"
"MW-182351","2109"
"EH-137651","2107"
"BF-110052","2099"
"MC-172751","2098"
"RD-195852","2097"
"SH-206354","2096"
"DW-34803","2095"
"GT-146351","2095"
"DJ-136304","2094"
"SC-208002","2093"
"KM-163754","2092"
"GZ-145454","2092"
"JK-152054","2091"
"SC-200954","2090"
"EB-141101","2090"
"CR-125802","2087"
"JD-160151","2087"
"LC-171404","2085"
"AB-101051","2085"
"BP-111854","2082"
"AS-1352","2082"
"SC-208451","2071"
"SS-205151","2070"
"BS-117552","2069"
"TT-212203","2060"
"EB-39751","2058"
"AS-101351","2058"
"DK-128351","2058"
"MH-174554","2057"
"AS-100451","2056"
"XP-218652","2053"
"CM-124452","2048"
"LW-171252","2043"
"JR-156703","2042"
"EJ-141554","2042"
"MR-175452","2040"
"JB-160452","2039"
"AG-103003","2035"
"EM-141404","2035"
"CA-122652","2035"
"RB-93301","2033"
"TS-115051","2033"
"PO-188651","2033"
"GW-146051","2032"
"JC-157754","2032"
"DN-136901","2031"
"TB-210551","2027"
"KB-163151","2024"
"MN-79352","2024"
"RD-197202","2022"
"RL-196151","2022"
"DJ-136301","2022"
"JK-153252","2022"
"TT-112651","2016"
"TB-216252","2013"
"CH-120702","2013"
"MY-182953","2009"
"MZ-173353","2006"
"RB-197951","2005"
"DK-128952","2002"
"NG-84303","2001"
"TS-214304","2000"
"CS-119504","1998"
"MG-181453","1998"
"NP-187002","1997"
"LS-172451","1996"
"MC-174253","1995"
"KH-163601","1994"
"NW-184004","1990"
"AR-104054","1989"
"BS-113804","1988"
"MC-172752","1986"
"SW-202752","1983"
"TS-113702","1981"
"SH-203953","1981"
"TS-213402","1979"
"BD-17251","1979"
"JE-157151","1973"
"JS-158801","1972"
"DJ-134204","1972"
"TC-214751","1968"
"AR-105102","1968"
"LD-168553","1965"
"LF-171852","1964"
"DJ-136303","1962"
"SW-202754","1962"
"CS-124601","1961"
"DB-129703","1958"
"NP-86701","1954"
"JK-160902","1954"
"BF-110204","1953"
"JJ-54451","1952"
"GB-145753","1951"
"NM-184453","1951"
"MM-172601","1941"
"BS-115904","1939"
"JK-156251","1937"
"JJ-154452","1935"
"CM-124453","1931"
"AR-108254","1931"
"DB-136154","1927"
"EH-139452","1927"
"CK-122052","1926"
"DJ-135104","1925"
"CW-119052","1924"
"NP-186851","1922"
"RD-199303","1922"
"JE-161651","1921"
"KL-166452","1920"
"JW-152202","1920"
"RH-195552","1919"
"JG-151154","1919"
"ON-187151","1917"
"TS-211601","1917"
"HR-148301","1916"
"EB-138402","1916"
"DK-133752","1912"
"KD-163452","1910"
"BD-113202","1909"
"DR-128801","1909"
"MT-178151","1908"
"NK-184901","1906"
"KB-163153","1906"
"AT-107351","1905"
"PS-190451","1904"
"JS-158802","1903"
"SA-208303","1903"
"MA-179954","1902"
"TH-211001","1897"
"KB-165854","1897"
"PH-187903","1896"
"HK-148901","1896"
"PR-188801","1894"
"MC-176053","1893"
"SP-206503","1892"
"SS-204103","1890"
"NC-183403","1888"
"MF-182502","1887"
"EH-140052","1885"
"SB-201701","1884"
"CC-126851","1881"
"SK-199902","1881"
"SV-207852","1880"
"SM-209052","1880"
"CP-23401","1880"
"SH-203952","1879"
"AD-101801","1879"
"LD-170052","1878"
"MV-174852","1875"
"PT-90902","1873"
"NW-184003","1873"
"HP-148153","1872"
"JF-153552","1869"
"RE-194053","1862"
"AR-104051","1861"
"AG-103303","1860"
"NP-186853","1859"
"MA-175603","1859"
"TH-212352","1859"
"AG-103002","1859"
"MH-172903","1858"
"PW-190302","1858"
"MC-181303","1857"
"MV-181902","1856"
"ND-184602","1856"
"RF-193452","1855"
"AR-105701","1854"
"BW-112001","1854"
"SB-201853","1853"
"KS-163001","1853"
"DN-136904","1852"
"CG-120401","1852"
"CK-123251","1849"
"CW-119051","1848"
"GD-145904","1845"
"RD-195851","1843"
"CR-127301","1841"
"JG-153102","1840"
"MS-179803","1836"
"SC-208453","1834"
"CK-125951","1834"
"GZ-144703","1832"
"ER-138551","1831"
"SS-204104","1831"
"FM-143801","1829"
"KB-164051","1829"
"ML-177554","1828"
"LA-167804","1827"
"NH-186104","1827"
"BF-110802","1826"
"HP-148154","1824"
"TB-212503","1820"
"JC-161051","1819"
"FM-142904","1815"
"BS-116652","1815"
"ND-184603","1815"
"JW-160751","1814"
"MC-175903","1814"
"NM-84453","1812"
"BS-117553","1811"
"GZ-144704","1811"
"SH-199751","1809"
"JM-152501","1808"
"NS-186401","1808"
"GP-47401","1808"
"RH-194952","1807"
"KT-164651","1807"
"DB-136152","1807"
"MC-176052","1805"
"JM-155802","1805"
"PR-188803","1805"
"LH-71553","1803"
"BP-112904","1803"
"PS-187603","1802"
"BP-112901","1802"
"JC-161052","1801"
"MH-172902","1801"
"JO-152804","1801"
"CB-124154","1800"
"BG-116954","1800"
"SZ-200354","1799"
"BM-116504","1799"
"JK-161203","1799"
"RH-96002","1799"
"HF-149952","1798"
"BM-111401","1798"
"MA-179951","1795"
"SP-205451","1793"
"KA-165251","1793"
"SC-206954","1792"
"JG-153104","1792"
"MH-181154","1792"
"CJ-120101","1791"
"MJ-177403","1789"
"IG-150853","1789"
"LP-170803","1786"
"DF-131351","1785"
"SC-202302","1785"
"AR-104052","1785"
"JF-53552","1784"
"TH-211004","1784"
"MP-179654","1784"
"FM-142154","1780"
"AB-100152","1773"
"JM-155801","1773"
"NC-184154","1772"
"KH-166903","1770"
"BO-113501","1770"
"TC-215352","1763"
"SA-208301","1763"
"AP-107202","1763"
"PC-187454","1762"
"TH-111151","1761"
"KN-167051","1758"
"KM-162251","1758"
"JL-55052","1758"
"JF-54152","1758"
"CM-126553","1757"
"CV-28052","1757"
"PK-190754","1757"
"CP-123403","1756"
"BS-113653","1755"
"SS-201403","1753"
"PF-191651","1750"
"JK-153704","1750"
"RW-195402","1750"
"MZ-173351","1748"
"AH-101203","1747"
"CL-127002","1745"
"JH-154301","1745"
"CL-125652","1743"
"TB-215202","1740"
"SH-206352","1739"
"DM-129552","1739"
"TC-209801","1738"
"LT-167651","1737"
"JM-56551","1736"
"PF-191202","1735"
"GW-146054","1735"
"MS-175303","1733"
"RS-197653","1733"
"MW-182353","1732"
"JM-152504","1732"
"AH-101953","1731"
"HL-150401","1729"
"ED-138853","1728"
"MZ-175151","1727"
"DK-128953","1726"
"AR-105702","1725"
"DS-130301","1725"
"SF-209654","1724"
"AG-109004","1724"
"RB-194653","1722"
"TH-211151","1718"
"SV-207854","1718"
"BV-112451","1718"
"BB-115454","1717"
"FM-143804","1716"
"JR-157003","1716"
"GM-144402","1715"
"JP-161352","1710"
"ML-173951","1709"
"HK-148904","1708"
"PO-188653","1708"
"JK-160903","1706"
"CD-122802","1705"
"OT-187303","1705"
"MG-176804","1704"
"CM-119352","1704"
"Co-126403","1704"
"BF-110201","1704"
"VP-217302","1703"
"JD-161501","1700"
"PT-190902","1699"
"JP-155201","1699"
"PB-192103","1699"
"JK-53701","1695"
"TS-215054","1694"
"AS-102401","1694"
"KM-67201","1692"
"LS-169451","1692"
"KN-163904","1692"
"JK-153253","1689"
"DK-28351","1688"
"AJ-109451","1688"
"SC-207704","1687"
"EP-139153","1686"
"AG-103902","1686"
"ND-183702","1685"
"JL-152351","1685"
"SG-106052","1683"
"SG-206051","1681"
"CM-118302","1681"
"DB-134051","1680"
"GM-144551","1679"
"AT-107353","1676"
"JB-154003","1676"
"LT-171101","1674"
"MH-177851","1674"
"MZ-173352","1672"
"WB-218501","1671"
"DK-33753","1671"
"MS-177702","1671"
"DM-135251","1670"
"GR-145601","1670"
"DM-130154","1669"
"KB-162401","1669"
"CP-123401","1668"
"PJ-190154","1666"
"RK-193003","1665"
"RH-194951","1664"
"MT-178152","1663"
"KB-164052","1663"
"PV-189851","1663"
"TB-216254","1660"
"DB-135551","1659"
"SH-203954","1658"
"ME-177251","1658"
"JG-151153","1657"
"EM-140951","1657"
"LC-170501","1656"
"DK-128354","1656"
"DB-132103","1656"
"EH-41852","1656"
"CR-128203","1656"
"LA-167802","1654"
"JW-159552","1654"
"SC-207253","1654"
"BH-117104","1652"
"SU-106651","1650"
"BC-111254","1650"
"LR-170353","1649"
"MP-174701","1649"
"CS-21752","1648"
"PT-190901","1648"
"CV-128051","1648"
"RF-198403","1644"
"JE-156101","1641"
"GH-146652","1640"
"JJ-154453","1639"
"LD-68551","1639"
"GT-147103","1639"
"MN-179352","1638"
"PC-187451","1638"
"FA-142301","1632"
"PL-189252","1631"
"JL-155054","1631"
"JC-161053","1628"
"GH-144102","1626"
"EJ-137201","1626"
"CR-127302","1625"
"FM-142903","1624"
"NC-83401","1621"
"GZ-144702","1620"
"DH-36751","1619"
"SC-102302","1619"
"SW-204551","1618"
"AS-102403","1617"
"DB-136151","1617"
"VB-217454","1616"
"JP-154601","1613"
"TH-211002","1612"
"EJ-137203","1612"
"AR-108253","1612"
"HA-149204","1612"
"JC-53852","1611"
"CA-19652","1610"
"DG-133003","1608"
